 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Alb-Donau-Kreis ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;136.806;126.674;93;217
1961;136.806;128.002;94;219
1962;136.806;131.235;96;224
1963;136.806;133.560;98;227
1964;136.806;136.384;100;231
1965;136.806;139.423;102;236
1966;136.804;141.269;103;239
1967;136.803;142.016;104;240
1968;136.800;144.250;105;244
1969;136.797;147.349;108;249
1970*;136.797;147.562;108;249
1970;136.796;148.493;109;250
1971;136.794;151.212;111;253
1972;136.321;152.812;112;256
1973;136.323;155.120;114;258
1974;135.992;155.084;114;258
1975;136.002;155.694;114;256
1976;136.007;156.324;115;255
1977;135.908;156.927;115;255
1978;135.908;157.826;116;256
1979;135.722;159.201;117;257
1980;135.728;160.377;118;259
1981;135.728;160.699;118;260
1982;135.723;160.461;118;259
1983;135.715;160.052;118;259
1984;135.723;159.626;118;259
1985;135.721;159.543;118;259
1986;135.720;160.379;118;261
1987*;135.724;160.244;118;260
1987;135.724;160.508;118;261
1988;135.724;161.916;119;264
1989;135.724;164.607;121;269
1990;135.722;168.981;125;275
1991;135.731;172.160;127;280
1992;135.733;175.186;129;284
1993;135.733;177.857;131;286
1994;135.737;179.018;132;287
1995;135.740;180.309;133;289
1996;135.734;181.648;134;290
1997;135.736;182.362;134;291
1998;135.734;183.304;135;292
1999;135.733;184.803;136;293
2000;135.732;185.929;137;294
2001;135.732;187.000;138;297
2002;135.732;188.146;139;298
2003;135.732;189.101;139;299
2004;135.731;189.717;140;300
2005;135.733;190.233;140;300
2006;135.732;190.189;140;300
2007;135.732;190.212;140;301
2008;135.732;190.403;140;301
2009;135.732;189.884;140;301
2010;135.732;189.670;140;301
2011;135.867;186.444;137;295
2012;135.867;187.123;138;296
2013;135.867;187.892;138;298
2014;135.867;189.129;139;300
2015;135.867;192.104;141;305
20164);135.855;193.318;142;307
2017;135.855;194.629;143;309
2018;135.855;196.047;144;310
2019;135.854;197.076;145;311
2020;135.854;198.204;146;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
