 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Biberach ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;139.684;127.914;92;217
1961;139.684;129.080;92;219
1962;139.686;131.431;94;224
1963;139.686;133.527;96;227
1964;139.688;136.255;98;231
1965;139.689;138.959;99;236
1966;139.687;140.626;101;239
1967;139.690;141.515;101;240
1968;139.689;142.825;102;244
1969;139.691;144.812;104;249
1970*;139.691;144.989;104;249
1970;139.692;146.308;105;250
1971;139.691;147.957;106;253
1972;140.164;149.249;106;256
1973;140.162;150.199;107;258
1974;140.160;149.840;107;258
1975;140.163;149.190;106;256
1976;140.901;149.362;106;255
1977;140.988;149.315;106;255
1978;140.988;149.513;106;256
1979;140.988;150.597;107;257
1980;140.986;151.661;108;259
1981;140.986;152.168;108;260
1982;140.982;152.179;108;259
1983;140.983;151.996;108;259
1984;140.981;152.111;108;259
1985;140.984;152.447;108;259
1986;140.981;153.222;109;261
1987*;140.979;153.900;109;260
1987;140.979;154.155;109;261
1988;140.979;155.148;110;264
1989;140.993;158.374;112;269
1990;140.996;162.746;115;275
1991;140.985;165.920;118;280
1992;140.986;169.667;120;284
1993;140.986;171.912;122;286
1994;140.985;173.664;123;287
1995;140.987;175.622;125;289
1996;140.983;177.603;126;290
1997;141.002;178.896;127;291
1998;140.984;180.271;128;292
1999;140.982;181.409;129;293
2000;140.984;182.979;130;294
2001;140.982;184.548;131;297
2002;140.983;185.980;132;298
2003;140.982;187.138;133;299
2004;140.982;187.885;133;300
2005;140.981;188.532;134;300
2006;140.981;188.810;134;300
2007;140.975;189.089;134;301
2008;140.975;189.296;134;301
2009;140.975;189.403;134;301
2010;140.975;189.312;134;301
2011;140.975;187.508;133;295
2012;140.975;187.747;133;296
2013;140.975;188.696;134;298
2014;140.975;190.438;135;300
2015;140.975;194.019;138;305
20164);140.953;196.206;139;307
2017;140.953;198.265;141;309
2018;140.952;199.742;142;310
2019;140.952;201.282;143;311
2020;140.952;202.250;143;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
