 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Bodenseekreis ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;66.328;122.747;185;217
1961;66.328;123.917;187;219
1962;66.329;128.168;193;224
1963;66.328;131.007;198;227
1964;66.328;134.325;203;231
1965;66.328;139.597;210;236
1966;66.329;142.439;215;239
1967;66.330;143.564;216;240
1968;66.331;147.904;223;244
1969;66.330;153.011;231;249
1970*;66.330;151.219;228;249
1970;66.330;153.251;231;250
1971;66.331;156.995;237;253
1972;66.331;160.512;242;256
1973;66.331;161.906;244;258
1974;66.331;162.225;245;258
1975;66.336;162.236;245;256
1976;66.338;162.854;245;255
1977;66.442;164.150;247;255
1978;66.442;165.596;249;256
1979;66.447;167.867;253;257
1980;66.448;170.353;256;259
1981;66.449;171.466;258;260
1982;66.452;171.736;258;259
1983;66.457;171.337;258;259
1984;66.455;171.168;258;259
1985;66.455;172.981;260;259
1986;66.462;175.339;264;261
1987*;66.466;172.776;260;260
1987;66.466;173.466;261;261
1988;66.466;175.256;264;264
1989;66.464;180.257;271;269
1990;66.464;183.774;277;275
1991;66.466;187.140;282;280
1992;66.467;189.820;286;284
1993;66.467;191.390;288;286
1994;66.467;191.735;288;287
1995;66.467;192.947;290;289
1996;66.471;194.574;293;290
1997;66.472;195.445;294;291
1998;66.472;196.377;295;292
1999;66.472;198.024;298;293
2000;66.478;199.181;300;294
2001;66.477;200.948;302;297
2002;66.478;202.449;305;298
2003;66.478;203.523;306;299
2004;66.478;204.392;307;300
2005;66.479;205.446;309;300
2006;66.479;205.832;310;300
2007;66.478;206.759;311;301
2008;66.479;207.766;313;301
2009;66.478;207.710;312;301
2010;66.479;208.367;313;301
2011;66.479;204.483;308;295
2012;66.480;205.843;310;296
2013;66.480;207.450;312;298
2014;66.481;209.386;315;300
2015;66.481;212.201;319;305
20164);66.479;213.070;321;307
2017;66.479;214.655;323;309
2018;66.480;216.227;325;310
2019;66.477;217.470;327;311
2020;66.477;217.901;328;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
