 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Böblingen ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;61.798;189.653;307;217
1961;61.798;193.818;314;219
1962;61.798;201.352;326;224
1963;61.798;209.369;339;227
1964;61.798;217.591;352;231
1965;61.798;229.965;372;236
1966;61.798;237.127;384;239
1967;61.797;242.680;393;240
1968;61.797;253.021;409;244
1969;61.797;262.944;425;249
1970*;61.797;260.875;422;249
1970;61.797;264.892;429;250
1971;61.797;272.489;441;253
1972;61.793;280.012;453;256
1973;61.793;286.618;464;258
1974;61.793;289.025;468;258
1975;61.793;288.385;467;256
1976;61.793;289.791;469;255
1977;61.793;293.063;474;255
1978;61.789;296.776;480;256
1979;61.793;301.286;488;257
1980;61.793;305.725;495;259
1981;61.794;307.837;498;260
1982;61.794;308.009;498;259
1983;61.793;307.547;498;259
1984;61.795;307.551;498;259
1985;61.794;310.431;502;259
1986;61.788;313.623;508;261
1987*;61.787;315.677;511;260
1987;61.787;317.715;514;261
1988;61.787;321.947;521;264
1989;61.786;328.050;531;269
1990;61.781;334.602;542;275
1991;61.785;341.731;553;280
1992;61.782;346.074;560;284
1993;61.782;347.661;563;286
1994;61.782;348.244;564;287
1995;61.782;351.027;568;289
1996;61.782;354.580;574;290
1997;61.782;356.164;576;291
1998;61.782;359.205;581;292
1999;61.782;362.048;586;293
2000;61.783;364.987;591;294
2001;61.783;367.830;595;297
2002;61.783;370.337;599;298
2003;61.782;371.678;602;299
2004;61.783;372.113;602;300
2005;61.783;372.155;602;300
2006;61.783;372.228;602;300
2007;61.785;372.755;603;301
2008;61.784;372.827;603;301
2009;61.785;371.616;601;301
2010;61.785;371.396;601;301
2011;61.785;364.458;590;295
2012;61.782;367.208;594;296
2013;61.782;370.392;600;298
2014;61.782;374.279;606;300
2015;61.782;381.281;617;305
20164);61.777;385.888;625;307
2017;61.776;389.548;631;309
2018;61.776;391.640;634;310
2019;61.776;392.807;636;311
2020;61.776;392.898;636;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
