 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Breisgau-Hochschwarzwald ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;137.599;138.550;101;217
1961;137.599;139.793;102;219
1962;137.598;143.672;104;224
1963;137.598;147.541;107;227
1964;137.598;151.418;110;231
1965;137.598;155.243;113;236
1966;137.598;158.687;115;239
1967;137.596;160.580;117;240
1968;137.594;163.466;119;244
1969;137.594;167.740;122;249
1970*;137.594;162.397;118;249
1970;137.593;164.686;120;250
1971;137.597;170.185;124;253
1972;137.597;176.331;128;256
1973;137.597;181.335;132;258
1974;137.597;184.753;134;258
1975;137.605;187.104;136;256
1976;137.965;189.189;137;255
1977;137.964;191.346;139;255
1978;137.827;193.753;141;256
1979;137.834;196.618;143;257
1980;137.834;199.911;145;259
1981;137.832;201.776;146;260
1982;137.834;202.935;147;259
1983;137.833;203.765;148;259
1984;137.833;205.946;149;259
1985;137.833;207.466;151;259
1986;137.832;210.015;152;261
1987*;137.833;203.111;147;260
1987;137.833;204.355;148;261
1988;137.833;206.906;150;264
1989;137.834;211.688;154;269
1990;137.843;217.267;158;275
1991;137.840;221.264;161;280
1992;137.840;224.070;163;284
1993;137.840;226.638;164;286
1994;137.835;227.989;165;287
1995;137.834;230.839;167;289
1996;137.833;233.460;169;290
1997;137.836;235.350;171;291
1998;137.837;237.217;172;292
1999;137.835;238.770;173;293
2000;137.834;240.545;175;294
2001;137.834;243.043;176;297
2002;137.833;245.342;178;298
2003;137.833;247.002;179;299
2004;137.833;248.400;180;300
2005;137.833;249.535;181;300
2006;137.833;250.013;181;300
2007;137.832;250.183;182;301
2008;137.833;250.132;181;301
2009;137.833;250.418;182;301
2010;137.833;251.266;182;301
2011;137.833;246.437;179;295
2012;137.833;247.711;180;296
2013;137.834;250.137;181;298
2014;137.833;252.749;183;300
2015;137.833;257.343;187;305
20164);137.831;260.416;189;307
2017;137.831;262.405;190;309
2018;137.832;262.795;191;310
2019;137.832;263.601;191;311
2020;137.832;264.867;192;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
