 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Calw ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;79.775;96.330;121;217
1961;79.775;97.855;123;219
1962;79.774;101.907;128;224
1963;79.774;104.694;131;227
1964;79.774;107.611;135;231
1965;79.774;111.108;139;236
1966;79.774;113.764;143;239
1967;79.773;113.978;143;240
1968;79.773;116.344;146;244
1969;79.773;119.950;150;249
1970*;79.773;118.477;149;249
1970;79.772;119.331;150;250
1971;79.772;121.649;152;253
1972;79.755;124.094;156;256
1973;79.755;126.225;158;258
1974;79.755;126.319;158;258
1975;79.757;125.764;158;256
1976;79.758;126.133;158;255
1977;79.756;127.109;159;255
1978;79.754;128.323;161;256
1979;79.757;129.926;163;257
1980;79.754;132.481;166;259
1981;79.753;134.067;168;260
1982;79.753;133.849;168;259
1983;79.754;133.808;168;259
1984;79.753;134.123;168;259
1985;79.753;134.962;169;259
1986;79.753;136.548;171;261
1987*;79.753;133.321;167;260
1987;79.753;134.640;169;261
1988;79.753;137.080;172;264
1989;79.754;143.478;180;269
1990;79.755;148.066;186;275
1991;79.754;152.287;191;280
1992;79.754;155.524;195;284
1993;79.754;156.705;196;286
1994;79.753;157.200;197;287
1995;79.753;157.177;197;289
1996;79.753;157.329;197;290
1997;79.754;157.273;197;291
1998;79.754;157.324;197;292
1999;79.753;158.294;198;293
2000;79.753;158.959;199;294
2001;79.752;160.115;201;297
2002;79.752;161.249;202;298
2003;79.752;161.524;203;299
2004;79.752;161.530;203;300
2005;79.752;161.069;202;300
2006;79.752;160.341;201;300
2007;79.751;159.644;200;301
2008;79.751;158.702;199;301
2009;79.751;158.055;198;301
2010;79.751;157.271;197;301
2011;79.751;150.990;189;295
2012;79.751;150.709;189;296
2013;79.751;151.461;190;298
2014;79.751;152.766;192;300
2015;79.751;155.359;195;305
20164);79.729;155.960;196;307
2017;79.729;157.424;197;309
2018;79.729;158.397;199;310
2019;79.729;159.201;200;311
2020;79.729;160.149;201;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
