 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Emmendingen ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;68.106;104.372;153;217
1961;68.106;105.285;155;219
1962;68.106;106.694;157;224
1963;68.107;108.235;159;227
1964;68.107;110.048;162;231
1965;68.107;112.662;165;236
1966;68.109;115.216;169;239
1967;68.110;116.911;172;240
1968;68.109;118.978;175;244
1969;68.109;121.130;178;249
1970*;68.109;120.747;177;249
1970;68.109;121.944;179;250
1971;68.109;124.028;182;253
1972;68.108;126.515;186;256
1973;68.108;128.241;188;258
1974;68.108;129.303;190;258
1975;68.104;129.402;190;256
1976;68.102;129.527;190;255
1977;67.996;129.392;190;255
1978;67.996;129.845;191;256
1979;67.992;130.870;192;257
1980;67.994;131.893;194;259
1981;67.993;132.420;195;260
1982;67.993;132.966;196;259
1983;67.993;133.346;196;259
1984;67.993;134.226;197;259
1985;67.993;134.793;198;259
1986;67.990;135.421;199;261
1987*;67.990;132.508;195;260
1987;67.990;133.016;196;261
1988;67.990;134.460;198;264
1989;67.993;136.620;201;269
1990;67.986;139.248;205;275
1991;67.988;141.041;207;280
1992;67.987;142.891;210;284
1993;67.987;143.991;212;286
1994;67.994;144.842;213;287
1995;67.993;146.418;215;289
1996;67.993;147.440;217;290
1997;67.993;148.304;218;291
1998;67.994;149.043;219;292
1999;67.992;150.406;221;293
2000;67.990;151.414;223;294
2001;67.990;152.953;225;297
2002;67.990;154.506;227;298
2003;67.990;155.160;228;299
2004;67.990;156.069;230;300
2005;67.988;156.728;231;300
2006;67.988;157.265;231;300
2007;67.988;157.629;232;301
2008;67.988;157.667;232;301
2009;67.988;157.791;232;301
2010;67.988;158.342;233;301
2011;67.988;156.723;231;295
2012;67.988;157.399;232;296
2013;67.988;158.177;233;298
2014;67.988;159.708;235;300
2015;67.988;162.082;238;305
20164);67.979;163.251;240;307
2017;67.979;164.712;242;309
2018;67.980;165.383;243;310
2019;67.980;166.408;245;311
2020;67.980;166.862;245;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
