 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Enzkreis ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;57.396;119.975;209;217
1961;57.396;121.658;212;219
1962;57.396;124.969;218;224
1963;57.394;127.345;222;227
1964;57.394;130.519;227;231
1965;57.393;134.734;235;236
1966;57.393;137.658;240;239
1967;57.394;139.081;242;240
1968;57.393;142.488;248;244
1969;57.393;146.262;255;249
1970*;57.393;146.273;255;249
1970;57.393;147.733;257;250
1971;57.394;149.891;261;253
1972;57.394;152.499;266;256
1973;57.393;154.720;270;258
1974;57.393;154.735;270;258
1975;57.395;154.590;269;256
1976;57.395;155.432;271;255
1977;57.391;156.450;273;255
1978;57.392;158.252;276;256
1979;57.401;160.335;279;257
1980;57.402;162.142;282;259
1981;57.401;163.214;284;260
1982;57.398;163.631;285;259
1983;57.397;163.542;285;259
1984;57.397;163.719;285;259
1985;57.391;164.312;286;259
1986;57.391;165.392;288;261
1987*;57.391;164.639;287;260
1987;57.391;165.623;289;261
1988;57.391;167.328;292;264
1989;57.392;171.103;298;269
1990;57.395;175.574;306;275
1991;57.388;179.619;313;280
1992;57.391;182.853;319;284
1993;57.391;184.543;322;286
1994;57.391;185.485;323;287
1995;57.391;186.812;326;289
1996;57.391;187.845;327;290
1997;57.390;188.601;329;291
1998;57.390;190.053;331;292
1999;57.391;191.590;334;293
2000;57.388;192.852;336;294
2001;57.388;193.873;338;297
2002;57.370;194.839;340;298
2003;57.369;195.379;341;299
2004;57.369;196.083;342;300
2005;57.369;196.417;342;300
2006;57.370;196.159;342;300
2007;57.368;195.457;341;301
2008;57.368;195.315;340;301
2009;57.368;194.554;339;301
2010;57.368;193.913;338;301
2011;57.368;191.461;334;295
2012;57.368;192.092;335;296
2013;57.369;192.811;336;298
2014;57.369;193.728;338;300
2015;57.369;196.066;342;305
20164);57.360;197.246;344;307
2017;57.360;198.369;346;309
2018;57.360;198.905;347;310
2019;57.360;199.556;348;311
2020;57.360;199.752;348;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
