 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Esslingen ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;64.149;338.624;528;217
1961;64.149;345.481;539;219
1962;64.149;355.246;554;224
1963;64.150;363.175;566;227
1964;64.150;373.039;582;231
1965;64.150;384.978;600;236
1966;64.151;392.525;612;239
1967;64.151;394.899;616;240
1968;64.149;406.217;633;244
1969;64.149;421.011;656;249
1970*;64.149;424.611;662;249
1970;64.148;429.418;669;250
1971;64.152;436.756;681;253
1972;64.152;442.546;690;256
1973;64.152;450.515;702;258
1974;64.152;453.781;707;258
1975;64.165;450.232;702;256
1976;64.167;449.245;700;255
1977;64.161;451.904;704;255
1978;64.167;454.294;708;256
1979;64.165;457.588;713;257
1980;64.164;460.156;717;259
1981;64.164;460.620;718;260
1982;64.165;458.729;715;259
1983;64.164;455.784;710;259
1984;64.163;454.019;708;259
1985;64.164;456.362;711;259
1986;64.159;459.190;716;261
1987*;64.157;460.429;718;260
1987;64.157;462.363;721;261
1988;64.157;466.932;728;264
1989;64.157;473.625;738;269
1990;64.158;480.436;749;275
1991;64.149;486.150;758;280
1992;64.149;490.821;765;284
1993;64.149;490.831;765;286
1994;64.145;489.528;763;287
1995;64.145;490.169;764;289
1996;64.145;492.851;768;290
1997;64.144;493.131;769;291
1998;64.141;494.686;771;292
1999;64.140;497.826;776;293
2000;64.144;500.666;781;294
2001;64.144;505.340;788;297
2002;64.147;509.495;794;298
2003;64.148;511.564;797;299
2004;64.149;513.105;800;300
2005;64.150;514.245;802;300
2006;64.148;514.108;801;300
2007;64.148;514.503;802;301
2008;64.148;514.646;802;301
2009;64.148;514.109;801;301
2010;64.148;514.830;803;301
2011;64.148;504.961;787;295
2012;64.148;508.577;793;296
2013;64.148;512.279;799;298
2014;64.148;516.779;806;300
2015;64.148;524.127;817;305
20164);64.128;528.792;825;307
2017;64.128;532.447;830;309
2018;64.128;533.859;832;310
2019;64.128;535.024;834;311
2020;64.128;533.617;832;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
