 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Freudenstadt ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;87.093;83.948;96;217
1961;87.093;84.535;97;219
1962;87.092;86.187;99;224
1963;87.092;87.526;100;227
1964;87.091;89.013;102;231
1965;87.091;90.684;104;236
1966;87.091;92.143;106;239
1967;87.090;92.819;107;240
1968;87.093;94.161;108;244
1969;87.093;96.327;111;249
1970*;87.093;95.065;109;249
1970;87.093;95.489;110;250
1971;87.092;96.626;111;253
1972;87.093;97.221;112;256
1973;87.093;98.294;113;258
1974;87.093;97.970;112;258
1975;87.093;97.682;112;256
1976;87.092;97.802;112;255
1977;87.068;97.516;112;255
1978;87.068;97.611;112;256
1979;87.069;98.548;113;257
1980;87.067;99.697;115;259
1981;87.066;100.059;115;260
1982;87.066;100.515;115;259
1983;87.065;100.586;116;259
1984;87.067;101.030;116;259
1985;87.067;101.572;117;259
1986;87.066;101.942;117;261
1987*;87.066;101.957;117;260
1987;87.066;102.332;118;261
1988;87.066;103.605;119;264
1989;87.068;107.565;124;269
1990;87.068;109.960;126;275
1991;87.063;112.083;129;280
1992;87.064;114.753;132;284
1993;87.064;120.446;138;286
1994;87.068;120.046;138;287
1995;87.100;119.166;137;289
1996;87.075;119.216;137;290
1997;87.071;119.528;137;291
1998;87.073;120.254;138;292
1999;87.066;121.063;139;293
2000;87.065;120.848;139;294
2001;87.068;121.682;140;297
2002;87.068;122.275;140;298
2003;87.068;122.369;141;299
2004;87.068;122.407;141;300
2005;87.068;122.579;141;300
2006;87.068;122.275;140;300
2007;87.068;121.865;140;301
2008;87.068;121.272;139;301
2009;87.068;120.637;139;301
2010;87.068;119.878;138;301
2011;87.067;115.220;132;295
2012;87.067;115.055;132;296
2013;87.067;114.793;132;298
2014;87.067;115.147;132;300
2015;87.067;116.233;133;305
20164);87.039;116.692;134;307
2017;87.039;117.456;135;309
2018;87.040;117.935;135;310
2019;87.040;118.243;136;311
2020;87.040;118.364;136;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
