 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Göppingen ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;63.856;203.084;318;217
1961;63.856;204.943;321;219
1962;63.856;208.285;326;224
1963;63.856;208.620;327;227
1964;63.855;211.493;331;231
1965;63.855;215.027;337;236
1966;63.855;216.408;339;239
1967;63.855;215.983;338;240
1968;63.870;219.767;344;244
1969;63.870;225.070;352;249
1970*;63.870;227.146;356;249
1970;63.870;227.461;356;250
1971;63.870;229.357;359;253
1972;63.870;230.948;362;256
1973;64.154;232.933;363;258
1974;64.154;231.538;361;258
1975;64.153;229.117;357;256
1976;64.150;227.657;355;255
1977;64.152;226.905;354;255
1978;64.232;226.750;353;256
1979;64.233;228.573;356;257
1980;64.236;230.953;360;259
1981;64.235;230.854;359;260
1982;64.235;229.831;358;259
1983;64.238;229.413;357;259
1984;64.233;229.013;357;259
1985;64.231;229.399;357;259
1986;64.237;230.816;359;261
1987*;64.234;230.379;359;260
1987;64.234;231.284;360;261
1988;64.234;233.827;364;264
1989;64.233;238.263;371;269
1990;64.233;243.092;378;275
1991;64.235;247.741;386;280
1992;64.237;250.515;390;284
1993;64.237;252.275;393;286
1994;64.235;254.230;396;287
1995;64.234;255.203;397;289
1996;64.232;255.669;398;290
1997;64.232;254.929;397;291
1998;64.232;255.207;397;292
1999;64.233;256.136;399;293
2000;64.233;256.792;400;294
2001;64.234;257.651;401;297
2002;64.235;258.488;402;298
2003;64.235;258.707;403;299
2004;64.236;258.492;402;300
2005;64.236;257.783;401;300
2006;64.236;256.967;400;300
2007;64.236;255.807;398;301
2008;64.236;254.833;397;301
2009;64.236;253.522;395;301
2010;64.237;252.548;393;301
2011;64.237;247.194;385;295
2012;64.236;247.835;386;296
2013;64.236;248.813;387;298
2014;64.236;250.117;389;300
2015;64.236;252.749;393;305
20164);64.234;254.618;396;307
2017;64.234;256.345;399;309
2018;64.234;257.253;400;310
2019;64.234;258.145;402;311
2020;64.234;258.781;403;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
