 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Heidenheim ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;62.400;113.453;182;217
1961;62.400;114.701;184;219
1962;62.400;116.898;187;224
1963;62.400;119.045;191;227
1964;62.400;121.474;195;231
1965;62.400;123.423;198;236
1966;62.398;123.481;198;239
1967;62.398;122.896;197;240
1968;62.398;124.415;199;244
1969;62.398;126.703;203;249
1970*;62.398;127.108;204;249
1970;62.398;126.800;203;250
1971;62.400;126.477;203;253
1972;62.397;126.468;203;256
1973;62.397;126.999;204;258
1974;62.728;126.610;202;258
1975;62.717;125.375;200;256
1976;62.718;124.058;198;255
1977;62.719;123.471;197;255
1978;62.719;123.395;197;256
1979;62.720;123.516;197;257
1980;62.720;124.296;198;259
1981;62.720;124.277;198;260
1982;62.720;123.656;197;259
1983;62.721;123.451;197;259
1984;62.721;123.181;196;259
1985;62.720;123.500;197;259
1986;62.720;123.859;197;261
1987*;62.721;125.340;200;260
1987;62.721;125.502;200;261
1988;62.721;126.437;202;264
1989;62.719;128.495;205;269
1990;62.718;131.058;209;275
1991;62.718;132.824;212;280
1992;62.718;134.740;215;284
1993;62.718;136.174;217;286
1994;62.710;136.572;218;287
1995;62.711;137.315;219;289
1996;62.723;137.758;220;290
1997;62.724;137.587;219;291
1998;62.714;137.272;219;292
1999;62.712;136.890;218;293
2000;62.713;136.976;218;294
2001;62.713;137.055;219;297
2002;62.712;136.957;218;298
2003;62.712;136.337;217;299
2004;62.712;135.737;216;300
2005;62.712;135.174;216;300
2006;62.712;134.164;214;300
2007;62.712;133.449;213;301
2008;62.712;132.773;212;301
2009;62.712;131.854;210;301
2010;62.712;131.116;209;301
2011;62.712;127.691;204;295
2012;62.712;127.608;203;296
2013;62.712;127.947;204;298
2014;62.712;128.894;206;300
2015;62.713;130.527;208;305
20164);62.714;131.498;210;307
2017;62.714;132.006;210;309
2018;62.713;132.472;211;310
2019;62.713;132.777;212;311
2020;62.714;132.812;212;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
