 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Heilbronn ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;110.200;188.563;171;217
1961;110.200;189.845;172;219
1962;110.289;193.311;175;224
1963;110.288;197.367;179;227
1964;110.287;203.286;184;231
1965;110.286;208.723;189;236
1966;110.287;212.029;192;239
1967;110.286;213.443;194;240
1968;110.286;218.070;198;244
1969;110.287;223.410;203;249
1970*;110.278;223.120;202;249
1970;110.279;225.179;204;250
1971;110.277;228.445;207;253
1972;110.278;231.913;210;256
1973;110.278;236.300;214;258
1974;110.278;235.314;213;258
1975;110.278;232.151;211;256
1976;110.275;232.637;211;255
1977;109.957;234.675;213;255
1978;109.964;237.428;216;256
1979;109.959;241.160;219;257
1980;109.960;244.633;222;259
1981;109.959;246.519;224;260
1982;109.960;247.152;225;259
1983;109.961;248.261;226;259
1984;109.961;249.181;227;259
1985;109.961;250.146;227;259
1986;109.961;252.554;230;261
1987*;109.964;252.458;230;260
1987;109.964;253.972;231;261
1988;109.964;257.554;234;264
1989;109.959;263.663;240;269
1990;109.958;272.357;248;275
1991;109.957;279.912;255;280
1992;109.960;287.422;261;284
1993;109.960;293.898;267;286
1994;109.961;298.448;271;287
1995;109.970;303.513;276;289
1996;109.958;307.315;279;290
1997;109.957;310.619;282;291
1998;109.985;313.874;285;292
1999;109.986;317.578;289;293
2000;109.991;320.955;292;294
2001;109.992;324.043;295;297
2002;109.993;326.229;297;298
2003;109.993;327.540;298;299
2004;109.995;328.866;299;300
2005;109.995;329.503;300;300
2006;109.995;329.979;300;300
2007;109.994;330.302;300;301
2008;109.994;329.743;300;301
2009;109.993;329.054;299;301
2010;109.993;328.364;299;301
2011;109.993;323.168;294;295
2012;109.993;324.543;295;296
2013;109.993;326.035;296;298
2014;109.993;329.250;299;300
2015;109.993;334.388;304;305
20164);109.991;337.571;307;307
2017;109.991;340.772;310;309
2018;109.991;343.068;312;310
2019;109.991;344.456;313;311
2020;109.991;346.363;315;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
