 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Hohenlohekreis ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;77.140;75.253;98;217
1961;77.140;76.107;99;219
1962;77.140;77.325;100;224
1963;77.140;77.913;101;227
1964;77.140;79.235;103;231
1965;77.138;80.230;104;236
1966;77.142;80.767;105;239
1967;77.142;80.990;105;240
1968;77.141;81.828;106;244
1969;77.141;83.221;108;249
1970*;77.141;83.326;108;249
1970;77.142;83.862;109;250
1971;77.141;84.253;109;253
1972;77.141;84.450;109;256
1973;77.342;84.933;110;258
1974;77.342;84.660;109;258
1975;77.352;83.514;108;256
1976;77.352;83.045;107;255
1977;77.671;82.887;107;255
1978;77.672;82.947;107;256
1979;77.671;83.408;107;257
1980;77.668;83.872;108;259
1981;77.668;84.335;109;260
1982;77.670;84.411;109;259
1983;77.665;84.681;109;259
1984;77.666;85.245;110;259
1985;77.666;85.510;110;259
1986;77.663;85.991;111;261
1987*;77.663;86.103;111;260
1987;77.663;86.675;112;261
1988;77.663;87.960;113;264
1989;77.668;90.111;116;269
1990;77.669;92.907;120;275
1991;77.669;95.126;122;280
1992;77.669;97.315;125;284
1993;77.669;99.912;129;286
1994;77.669;102.043;131;287
1995;77.672;104.347;134;289
1996;77.669;105.257;136;290
1997;77.669;105.493;136;291
1998;77.671;106.130;137;292
1999;77.671;106.930;138;293
2000;77.676;107.754;139;294
2001;77.674;108.920;140;297
2002;77.674;109.519;141;298
2003;77.675;109.755;141;299
2004;77.675;109.756;141;300
2005;77.675;109.718;141;300
2006;77.675;109.717;141;300
2007;77.675;109.900;141;301
2008;77.675;109.499;141;301
2009;77.675;109.028;140;301
2010;77.676;108.913;140;301
2011;77.675;107.200;138;295
2012;77.676;107.498;138;296
2013;77.676;107.866;139;298
2014;77.676;108.816;140;300
2015;77.676;110.181;142;305
20164);77.676;110.689;143;307
2017;77.676;111.392;143;309
2018;77.676;112.010;144;310
2019;77.676;112.655;145;311
2020;77.676;112.765;145;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
