 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Karlsruhe ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;108.346;277.238;256;217
1961;108.346;280.528;259;219
1962;108.346;287.029;265;224
1963;108.346;293.216;271;227
1964;108.345;300.734;278;231
1965;108.345;307.311;284;236
1966;108.341;312.154;288;239
1967;108.341;314.486;290;240
1968;108.335;320.825;296;244
1969;108.336;329.372;304;249
1970*;108.336;331.323;306;249
1970;108.336;334.036;308;250
1971;108.337;339.224;313;253
1972;108.511;344.953;318;256
1973;108.512;351.172;324;258
1974;108.512;351.585;324;258
1975;108.503;349.856;322;256
1976;108.503;349.320;322;255
1977;108.499;350.727;323;255
1978;108.499;352.868;325;256
1979;108.490;355.482;328;257
1980;108.487;359.053;331;259
1981;108.482;360.788;333;260
1982;108.482;361.383;333;259
1983;108.484;360.979;333;259
1984;108.485;360.890;333;259
1985;108.492;362.057;334;259
1986;108.489;363.538;335;261
1987*;108.490;364.798;336;260
1987;108.490;366.141;337;261
1988;108.490;368.613;340;264
1989;108.488;373.479;344;269
1990;108.491;380.713;351;275
1991;108.493;389.053;359;280
1992;108.493;395.540;365;284
1993;108.493;399.377;368;286
1994;108.487;401.909;370;287
1995;108.488;405.795;374;289
1996;108.488;408.641;377;290
1997;108.490;410.448;378;291
1998;108.495;413.257;381;292
1999;108.495;416.429;384;293
2000;108.496;419.555;387;294
2001;108.496;422.952;390;297
2002;108.497;425.768;392;298
2003;108.497;427.149;394;299
2004;108.498;428.312;395;300
2005;108.496;429.603;396;300
2006;108.497;430.351;397;300
2007;108.500;431.519;398;301
2008;108.500;431.381;398;301
2009;108.500;431.606;398;301
2010;108.500;432.271;398;301
2011;108.495;424.510;391;295
2012;108.494;427.106;394;296
2013;108.494;429.186;396;298
2014;108.495;431.315;398;300
2015;108.495;435.841;402;305
20164);108.528;440.337;406;307
2017;108.528;442.673;408;309
2018;108.529;444.232;409;310
2019;108.498;445.101;410;311
2020;108.498;446.852;412;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
