 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Konstanz ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;81.442;186.199;229;217
1961;81.442;188.314;231;219
1962;81.443;192.657;237;224
1963;81.445;196.995;242;227
1964;81.446;202.276;248;231
1965;81.447;206.883;254;236
1966;81.447;209.713;257;239
1967;81.715;211.208;258;240
1968;81.715;215.854;264;244
1969;81.780;221.883;271;249
1970*;81.780;220.297;269;249
1970;81.782;222.222;272;250
1971;81.780;226.006;276;253
1972;81.779;230.124;281;256
1973;81.779;232.680;285;258
1974;81.779;231.801;283;258
1975;81.784;229.505;281;256
1976;81.798;228.138;279;255
1977;81.811;227.492;278;255
1978;81.805;227.792;278;256
1979;81.808;228.748;280;257
1980;81.808;230.054;281;259
1981;81.808;230.662;282;260
1982;81.807;231.502;283;259
1983;81.808;230.663;282;259
1984;81.807;230.858;282;259
1985;81.807;232.611;284;259
1986;81.804;234.397;287;261
1987*;81.810;231.898;283;260
1987;81.810;233.432;285;261
1988;81.810;237.121;290;264
1989;81.795;241.129;295;269
1990;81.795;246.059;301;275
1991;81.798;250.991;307;280
1992;81.796;253.697;310;284
1993;81.796;255.263;312;286
1994;81.797;256.900;314;287
1995;81.802;258.668;316;289
1996;81.799;260.423;318;290
1997;81.781;261.936;320;291
1998;81.775;263.181;322;292
1999;81.776;264.540;323;293
2000;81.776;266.183;326;294
2001;81.801;268.859;329;297
2002;81.798;271.373;332;298
2003;81.798;272.966;334;299
2004;81.797;274.096;335;300
2005;81.797;274.692;336;300
2006;81.800;274.752;336;300
2007;81.800;275.120;336;301
2008;81.800;276.240;338;301
2009;81.800;277.555;339;301
2010;81.798;278.983;341;301
2011;81.798;268.263;328;295
2012;81.798;270.568;331;296
2013;81.797;273.407;334;298
2014;81.798;275.785;337;300
2015;81.798;280.288;343;305
20164);81.798;282.191;345;307
2017;81.798;284.015;347;309
2018;81.798;285.325;349;310
2019;81.798;286.305;350;311
2020;81.798;286.876;351;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
