 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Lörrach ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;80.698;168.479;209;217
1961;80.698;169.637;210;219
1962;80.698;172.212;213;224
1963;80.698;173.487;215;227
1964;80.698;176.499;219;231
1965;80.698;180.668;224;236
1966;80.698;182.374;226;239
1967;80.694;183.838;228;240
1968;80.693;187.303;232;244
1969;80.693;191.059;237;249
1970*;80.693;190.903;237;249
1970;80.693;192.175;238;250
1971;80.693;193.789;240;253
1972;80.693;194.764;241;256
1973;80.693;196.278;243;258
1974;80.693;195.754;243;258
1975;80.689;193.655;240;256
1976;80.687;191.784;238;255
1977;80.677;190.524;236;255
1978;80.680;189.470;235;256
1979;80.678;190.011;236;257
1980;80.680;190.832;237;259
1981;80.680;191.275;237;260
1982;80.678;190.985;237;259
1983;80.680;190.616;236;259
1984;80.679;190.598;236;259
1985;80.679;190.822;237;259
1986;80.683;191.976;238;261
1987*;80.683;191.004;237;260
1987;80.683;191.637;238;261
1988;80.683;193.549;240;264
1989;80.684;197.475;245;269
1990;80.684;201.880;250;275
1991;80.683;204.598;254;280
1992;80.683;207.778;258;284
1993;80.683;209.452;260;286
1994;80.683;210.596;261;287
1995;80.682;212.122;263;289
1996;80.683;213.459;265;290
1997;80.683;214.175;265;291
1998;80.683;215.044;267;292
1999;80.683;216.111;268;293
2000;80.681;217.175;269;294
2001;80.681;219.149;272;297
2002;80.682;220.523;273;298
2003;80.681;221.098;274;299
2004;80.681;220.689;274;300
2005;80.681;221.357;274;300
2006;80.681;221.787;275;300
2007;80.677;222.528;276;301
2008;80.677;222.596;276;301
2009;80.677;222.401;276;301
2010;80.677;222.650;276;301
2011;80.677;219.481;272;295
2012;80.677;220.606;273;296
2013;80.677;221.943;275;298
2014;80.677;223.692;277;300
2015;80.676;226.708;281;305
20164);80.671;227.545;282;307
2017;80.671;228.314;283;309
2018;80.672;228.639;283;310
2019;80.667;228.736;284;311
2020;80.666;228.842;284;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
