 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Ludwigsburg ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;68.717;315.071;459;217
1961;68.717;320.788;467;219
1962;68.714;331.744;483;224
1963;68.714;340.423;495;227
1964;68.716;351.121;511;231
1965;68.721;363.908;530;236
1966;68.719;372.049;541;239
1967;68.718;375.575;547;240
1968;68.720;386.726;563;244
1969;68.720;400.380;583;249
1970*;68.720;397.506;578;249
1970;68.717;402.244;585;250
1971;68.718;409.515;596;253
1972;68.719;417.835;608;256
1973;68.719;426.897;621;258
1974;68.719;427.208;622;258
1975;68.724;423.805;617;256
1976;68.723;422.648;615;255
1977;68.723;425.281;619;255
1978;68.722;427.497;622;256
1979;68.721;431.535;628;257
1980;68.721;435.649;634;259
1981;68.722;435.701;634;260
1982;68.722;433.921;631;259
1983;68.717;431.392;628;259
1984;68.717;431.140;627;259
1985;68.717;434.254;632;259
1986;68.716;438.235;638;261
1987*;68.717;442.389;644;260
1987;68.717;444.651;647;261
1988;68.717;449.699;654;264
1989;68.717;457.343;666;269
1990;68.716;465.429;677;275
1991;68.713;472.972;688;280
1992;68.719;479.143;697;284
1993;68.719;482.122;702;286
1994;68.711;483.057;703;287
1995;68.731;485.831;707;289
1996;68.734;487.784;710;290
1997;68.733;489.007;711;291
1998;68.699;491.690;716;292
1999;68.700;495.443;721;293
2000;68.681;497.764;725;294
2001;68.681;503.229;733;297
2002;68.682;507.043;738;298
2003;68.683;509.681;742;299
2004;68.682;511.830;745;300
2005;68.682;513.317;747;300
2006;68.681;513.998;748;300
2007;68.682;515.146;750;301
2008;68.682;515.898;751;301
2009;68.682;516.874;753;301
2010;68.682;517.985;754;301
2011;68.682;512.086;746;295
2012;68.682;516.748;752;296
2013;68.682;521.633;759;298
2014;68.683;526.377;766;300
2015;68.683;534.074;778;305
20164);68.677;537.902;783;307
2017;68.677;542.630;790;309
2018;68.677;543.984;792;310
2019;68.677;545.423;794;311
2020;68.677;544.971;794;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
