 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Main-Tauber-Kreis ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;130.377;119.293;91;217
1961;130.377;120.067;92;219
1962;130.376;121.394;93;224
1963;130.376;122.646;94;227
1964;130.375;123.808;95;231
1965;130.375;125.111;96;236
1966;130.375;126.104;97;239
1967;130.379;126.681;97;240
1968;130.380;127.226;98;244
1969;130.380;128.235;98;249
1970*;130.380;127.547;98;249
1970;130.380;127.944;98;250
1971;130.379;127.962;98;253
1972;130.379;127.629;98;256
1973;130.461;127.332;98;258
1974;130.461;126.575;97;258
1975;130.459;125.175;96;256
1976;130.463;123.988;95;255
1977;130.463;122.323;94;255
1978;130.457;121.628;93;256
1979;130.456;121.415;93;257
1980;130.457;121.410;93;259
1981;130.457;121.378;93;260
1982;130.457;121.078;93;259
1983;130.461;120.636;92;259
1984;130.461;120.593;92;259
1985;130.462;120.687;93;259
1986;130.461;120.548;92;261
1987*;130.455;121.891;93;260
1987;130.455;121.905;93;261
1988;130.455;122.438;94;264
1989;130.451;125.339;96;269
1990;130.451;128.272;98;275
1991;130.450;129.934;100;280
1992;130.458;132.059;101;284
1993;130.458;133.863;103;286
1994;130.456;135.041;104;287
1995;130.465;136.919;105;289
1996;130.458;137.299;105;290
1997;130.462;137.063;105;291
1998;130.457;137.008;105;292
1999;130.446;137.135;105;293
2000;130.443;137.057;105;294
2001;130.443;137.508;105;297
2002;130.443;137.284;105;298
2003;130.443;137.474;105;299
2004;130.442;137.736;106;300
2005;130.442;137.259;105;300
2006;130.441;136.296;104;300
2007;130.441;135.387;104;301
2008;130.441;134.939;103;301
2009;130.441;134.211;103;301
2010;130.441;133.351;102;301
2011;130.441;130.431;100;295
2012;130.441;129.842;100;296
2013;130.441;129.857;100;298
2014;130.441;130.299;100;300
2015;130.441;132.181;101;305
20164);130.413;132.274;101;307
2017;130.413;132.189;101;309
2018;130.412;132.321;101;310
2019;130.412;132.399;102;311
2020;130.412;132.684;102;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
