 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Neckar-Odenwald-Kreis ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;112.640;114.217;101;217
1961;112.640;115.415;102;219
1962;112.552;117.829;105;224
1963;112.552;119.791;106;227
1964;112.552;122.669;109;231
1965;112.549;125.634;112;236
1966;112.551;128.053;114;239
1967;112.549;128.515;114;240
1968;112.549;130.008;116;244
1969;112.549;131.856;117;249
1970*;112.549;130.554;116;249
1970;112.549;131.041;116;250
1971;112.549;131.680;117;253
1972;112.549;132.095;117;256
1973;112.467;132.673;118;258
1974;112.467;132.313;118;258
1975;112.467;131.159;117;256
1976;112.463;130.307;116;255
1977;112.581;129.937;115;255
1978;112.580;129.293;115;256
1979;112.635;129.580;115;257
1980;112.633;129.735;115;259
1981;112.633;129.478;115;260
1982;112.633;129.047;115;259
1983;112.631;128.567;114;259
1984;112.632;128.756;114;259
1985;112.632;128.675;114;259
1986;112.632;129.001;115;261
1987*;112.634;130.656;116;260
1987;112.634;130.810;116;261
1988;112.634;131.889;117;264
1989;112.634;135.454;120;269
1990;112.634;138.525;123;275
1991;112.631;140.517;125;280
1992;112.632;142.584;127;284
1993;112.632;144.285;128;286
1994;112.630;145.787;129;287
1995;112.629;146.782;130;289
1996;112.628;147.761;131;290
1997;112.628;148.360;132;291
1998;112.630;148.592;132;292
1999;112.630;148.938;132;293
2000;112.632;149.424;133;294
2001;112.631;150.091;133;297
2002;112.631;150.951;134;298
2003;112.631;150.920;134;299
2004;112.631;151.131;134;300
2005;112.630;150.628;134;300
2006;112.629;150.022;133;300
2007;112.627;149.572;133;301
2008;112.626;148.763;132;301
2009;112.626;147.782;131;301
2010;112.628;147.006;131;301
2011;112.628;142.435;126;295
2012;112.625;141.847;126;296
2013;112.625;141.584;126;298
2014;112.625;141.651;126;300
2015;112.625;142.936;127;305
20164);112.594;143.278;127;307
2017;112.594;143.376;127;309
2018;112.595;143.535;127;310
2019;112.595;143.633;128;311
2020;112.595;143.797;128;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
