 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Ortenaukreis ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;184.892;306.928;166;217
1961;184.892;309.187;167;219
1962;184.892;313.983;170;224
1963;184.892;318.959;173;227
1964;184.890;325.307;176;231
1965;184.890;331.559;179;236
1966;184.890;336.039;182;239
1967;184.890;338.249;183;240
1968;184.890;343.020;186;244
1969;184.890;347.437;188;249
1970*;184.890;346.781;188;249
1970;184.890;348.769;189;250
1971;184.888;351.847;190;253
1972;184.888;354.824;192;256
1973;184.888;356.855;193;258
1974;184.888;356.910;193;258
1975;184.889;355.613;192;256
1976;184.888;354.148;192;255
1977;184.912;353.586;191;255
1978;185.062;353.168;191;256
1979;185.058;354.042;191;257
1980;185.058;355.385;192;259
1981;185.061;355.343;192;260
1982;185.063;355.029;192;259
1983;185.063;353.823;191;259
1984;185.067;353.577;191;259
1985;185.065;353.536;191;259
1986;185.064;354.362;191;261
1987*;185.065;354.655;192;260
1987;185.065;354.884;192;261
1988;185.065;357.565;193;264
1989;185.076;364.369;197;269
1990;185.076;371.725;201;275
1991;185.080;377.966;204;280
1992;185.077;385.327;208;284
1993;185.077;390.457;211;286
1994;185.073;395.070;213;287
1995;185.074;399.133;216;289
1996;185.075;401.260;217;290
1997;185.075;402.190;217;291
1998;185.075;403.671;218;292
1999;185.073;405.607;219;293
2000;185.073;408.126;221;294
2001;185.074;411.491;222;297
2002;185.074;413.008;223;298
2003;185.074;414.292;224;299
2004;185.074;415.405;224;300
2005;185.085;416.410;225;300
2006;185.085;416.973;225;300
2007;185.085;417.754;226;301
2008;185.085;417.613;226;301
2009;185.085;417.267;225;301
2010;185.085;417.513;226;301
2011;185.085;410.408;222;295
2012;185.085;411.700;222;296
2013;185.084;412.678;223;298
2014;185.084;415.639;225;300
2015;185.084;420.106;227;305
20164);185.034;423.359;229;307
2017;185.034;425.932;230;309
2018;185.035;429.479;232;310
2019;185.035;430.953;233;311
2020;185.035;432.580;234;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
