 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Ostalbkreis ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;150.953;241.180;160;217
1961;150.953;242.865;161;219
1962;150.953;245.913;163;224
1963;150.953;248.752;165;227
1964;150.952;251.854;167;231
1965;150.952;255.843;169;236
1966;150.952;257.692;171;239
1967;150.953;258.266;171;240
1968;150.940;262.281;174;244
1969;150.940;267.518;177;249
1970*;150.941;268.955;178;249
1970;150.941;269.987;179;250
1971;150.941;271.531;180;253
1972;151.382;273.468;181;256
1973;151.098;274.804;182;258
1974;151.100;274.428;182;258
1975;151.087;272.353;180;256
1976;151.088;271.761;180;255
1977;151.230;271.545;180;255
1978;151.150;272.044;180;256
1979;151.149;273.772;181;257
1980;151.154;275.793;182;259
1981;151.152;276.205;183;260
1982;151.152;275.947;183;259
1983;151.150;275.747;182;259
1984;151.151;276.258;183;259
1985;151.150;276.524;183;259
1986;151.139;277.339;183;261
1987*;151.142;279.572;185;260
1987;151.142;280.358;185;261
1988;151.142;282.766;187;264
1989;151.150;287.946;191;269
1990;151.154;294.146;195;275
1991;151.155;299.780;198;280
1992;151.147;304.000;201;284
1993;151.147;307.474;203;286
1994;151.160;309.205;205;287
1995;151.160;311.110;206;289
1996;151.149;312.257;207;290
1997;151.149;311.995;206;291
1998;151.155;312.788;207;292
1999;151.158;313.318;207;293
2000;151.157;314.198;208;294
2001;151.157;315.345;209;297
2002;151.157;316.495;209;298
2003;151.157;316.812;210;299
2004;151.157;317.056;210;300
2005;151.157;316.760;210;300
2006;151.157;315.661;209;300
2007;151.158;314.624;208;301
2008;151.158;313.576;207;301
2009;151.157;312.129;206;301
2010;151.158;310.733;206;301
2011;151.157;306.425;203;295
2012;151.157;306.484;203;296
2013;151.157;306.933;203;298
2014;151.157;308.205;204;300
2015;151.157;312.650;207;305
20164);151.137;311.587;206;307
2017;151.139;312.422;207;309
2018;151.139;314.002;208;310
2019;151.139;314.025;208;311
2020;151.139;314.294;208;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
