 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Rastatt ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;73.877;157.609;213;217
1961;73.877;159.905;216;219
1962;73.877;164.544;223;224
1963;73.876;167.837;227;227
1964;73.876;171.281;232;231
1965;73.875;175.235;237;236
1966;73.875;177.915;241;239
1967;73.875;178.491;242;240
1968;73.875;181.731;246;244
1969;73.875;185.785;251;249
1970*;73.875;186.414;252;249
1970;73.875;186.617;253;250
1971;73.877;187.311;254;253
1972;73.893;188.284;255;256
1973;73.893;189.637;257;258
1974;73.893;189.638;257;258
1975;73.892;188.535;255;256
1976;73.894;188.503;255;255
1977;73.888;188.526;255;255
1978;73.889;187.877;254;256
1979;73.887;188.615;255;257
1980;73.883;189.114;256;259
1981;73.883;189.664;257;260
1982;73.884;189.455;256;259
1983;73.883;189.314;256;259
1984;73.883;189.668;257;259
1985;73.882;190.062;257;259
1986;73.880;190.877;258;261
1987*;73.881;194.603;263;260
1987;73.881;195.238;264;261
1988;73.881;197.558;267;264
1989;73.877;200.972;272;269
1990;73.877;204.571;277;275
1991;73.877;207.035;280;280
1992;73.879;210.156;284;284
1993;73.879;217.868;295;286
1994;73.878;222.313;301;287
1995;73.879;218.982;296;289
1996;73.877;220.217;298;290
1997;73.878;221.142;299;291
1998;73.881;222.184;301;292
1999;73.881;223.529;303;293
2000;73.883;223.328;302;294
2001;73.883;224.309;304;297
2002;73.883;225.896;306;298
2003;73.883;226.669;307;299
2004;73.883;227.549;308;300
2005;73.882;228.408;309;300
2006;73.876;228.006;309;300
2007;73.875;227.929;309;301
2008;73.875;227.111;307;301
2009;73.875;226.912;307;301
2010;73.875;226.789;307;301
2011;73.875;222.201;301;295
2012;73.875;222.472;301;296
2013;73.875;223.311;302;298
2014;73.875;224.687;304;300
2015;73.875;227.474;308;305
20164);73.843;228.907;310;307
2017;73.843;230.216;312;309
2018;73.843;231.018;313;310
2019;73.843;231.420;313;311
2020;73.843;232.091;314;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
