 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Ravensburg ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;163.456;185.940;114;217
1961;163.456;187.788;115;219
1962;163.456;191.215;117;224
1963;163.455;194.432;119;227
1964;163.453;198.074;121;231
1965;163.453;202.114;124;236
1966;163.454;205.215;126;239
1967;163.454;207.060;127;240
1968;163.453;210.091;129;244
1969;163.453;214.152;131;249
1970*;163.453;212.479;130;249
1970;163.453;214.700;131;250
1971;163.453;217.812;133;253
1972;163.453;221.602;136;256
1973;164.026;225.058;137;258
1974;164.026;225.793;138;258
1975;163.959;225.327;137;256
1976;163.216;225.377;138;255
1977;163.124;226.294;139;255
1978;163.162;226.995;139;256
1979;163.161;228.261;140;257
1980;163.164;230.685;141;259
1981;163.169;231.915;142;260
1982;163.168;232.227;142;259
1983;163.167;232.333;142;259
1984;163.166;233.252;143;259
1985;163.170;233.644;143;259
1986;163.169;235.027;144;261
1987*;163.169;233.635;143;260
1987;163.169;234.477;144;261
1988;163.169;236.456;145;264
1989;163.172;241.111;148;269
1990;163.170;247.674;152;275
1991;163.172;252.561;155;280
1992;163.167;256.616;157;284
1993;163.167;258.866;159;286
1994;163.178;259.951;159;287
1995;163.181;261.446;160;289
1996;163.181;263.551;162;290
1997;163.181;264.260;162;291
1998;163.181;265.765;163;292
1999;163.181;267.147;164;293
2000;163.181;268.770;165;294
2001;163.181;270.572;166;297
2002;163.181;272.273;167;298
2003;163.180;273.681;168;299
2004;163.181;275.079;169;300
2005;163.181;275.677;169;300
2006;163.181;275.900;169;300
2007;163.181;276.470;169;301
2008;163.182;276.474;169;301
2009;163.182;276.363;169;301
2010;163.183;276.965;170;301
2011;163.183;270.129;166;295
2012;163.184;272.425;167;296
2013;163.182;273.540;168;298
2014;163.182;275.339;169;300
2015;163.182;279.296;171;305
20164);163.210;281.627;173;307
2017;163.210;283.264;174;309
2018;163.208;284.285;174;310
2019;163.208;285.424;175;311
2020;163.208;285.888;175;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
