 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Rems-Murr-Kreis ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;85.960;266.254;310;217
1961;85.960;270.868;315;219
1962;85.960;279.611;325;224
1963;85.961;287.088;334;227
1964;85.961;296.132;344;231
1965;85.961;305.050;355;236
1966;85.961;311.454;362;239
1967;85.961;314.521;366;240
1968;85.960;322.488;375;244
1969;85.960;331.190;385;249
1970*;85.969;331.462;386;249
1970;85.969;333.446;388;250
1971;85.971;340.048;396;253
1972;85.971;346.661;403;256
1973;85.971;351.470;409;258
1974;85.971;351.626;409;258
1975;85.965;349.139;406;256
1976;85.963;348.384;405;255
1977;85.825;349.296;407;255
1978;85.824;351.171;409;256
1979;85.825;353.861;412;257
1980;85.826;356.142;415;259
1981;85.827;356.252;415;260
1982;85.827;355.322;414;259
1983;85.826;354.456;413;259
1984;85.806;354.348;413;259
1985;85.806;356.198;415;259
1986;85.806;359.695;419;261
1987*;85.806;360.634;420;260
1987;85.806;362.499;422;261
1988;85.806;366.960;428;264
1989;85.803;373.065;435;269
1990;85.802;380.813;444;275
1991;85.810;387.872;452;280
1992;85.810;393.028;458;284
1993;85.810;395.828;461;286
1994;85.807;396.461;462;287
1995;85.809;399.116;465;289
1996;85.818;401.635;468;290
1997;85.816;403.108;470;291
1998;85.815;404.378;471;292
1999;85.813;407.213;475;293
2000;85.814;409.296;477;294
2001;85.814;412.959;481;297
2002;85.814;415.764;484;298
2003;85.815;416.635;486;299
2004;85.814;417.463;486;300
2005;85.814;417.697;487;300
2006;85.814;417.609;487;300
2007;85.814;417.131;486;301
2008;85.814;416.255;485;301
2009;85.814;415.696;484;301
2010;85.814;415.448;484;301
2011;85.814;407.150;474;295
2012;85.814;408.827;476;296
2013;85.814;411.025;479;298
2014;85.814;414.016;482;300
2015;85.814;419.456;489;305
20164);85.808;422.698;493;307
2017;85.808;424.878;495;309
2018;85.808;426.158;497;310
2019;85.808;427.248;498;311
2020;85.808;427.286;498;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
