 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Reutlingen ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;109.305;193.877;177;217
1961;109.305;195.436;179;219
1962;109.304;199.530;183;224
1963;109.305;202.606;185;227
1964;109.304;206.604;189;231
1965;109.303;211.918;194;236
1966;109.302;215.240;197;239
1967;109.303;216.132;198;240
1968;109.304;220.667;202;244
1969;109.305;225.969;207;249
1970*;109.305;226.911;208;249
1970;109.306;228.021;209;250
1971;109.306;231.374;212;253
1972;109.305;233.998;214;256
1973;109.305;236.383;216;258
1974;109.305;236.464;216;258
1975;109.305;234.648;215;256
1976;109.304;234.174;214;255
1977;109.403;233.639;214;255
1978;109.403;234.386;214;256
1979;109.403;235.727;215;257
1980;109.405;237.679;217;259
1981;109.407;238.401;218;260
1982;109.412;238.851;218;259
1983;109.411;239.341;219;259
1984;109.405;239.447;219;259
1985;109.407;240.939;220;259
1986;109.409;243.351;222;261
1987*;109.410;244.246;223;260
1987;109.410;245.470;224;261
1988;109.410;248.205;227;264
1989;109.411;253.056;231;269
1990;109.411;258.927;237;275
1991;109.422;263.657;241;280
1992;109.420;267.039;244;284
1993;109.420;269.354;246;286
1994;109.410;270.038;247;287
1995;109.412;272.057;249;289
1996;109.411;273.620;250;290
1997;109.415;274.682;251;291
1998;109.413;275.202;252;292
1999;109.416;276.671;253;293
2000;109.413;277.995;254;294
2001;109.414;279.177;255;297
2002;109.414;280.613;256;298
2003;109.414;281.690;257;299
2004;109.414;281.779;258;300
2005;109.414;282.049;258;300
2006;109.404;281.891;258;300
2007;109.405;281.580;257;301
2008;109.404;281.080;257;301
2009;109.404;280.927;257;301
2010;109.404;280.931;257;301
2011;102.809;273.646;266;295
2012;102.809;274.691;267;296
2013;102.809;276.019;268;298
2014;102.809;278.031;270;300
2015;102.809;282.113;274;305
20164);102.785;284.082;276;307
2017;102.785;285.754;278;309
2018;102.784;286.748;279;310
2019;102.784;287.034;279;311
2020;102.784;287.497;280;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
