 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Rhein-Neckar-Kreis ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;106.371;338.012;318;217
1961;106.371;341.986;322;219
1962;106.371;350.595;330;224
1963;106.371;358.607;337;227
1964;106.372;368.166;346;231
1965;106.376;378.369;356;236
1966;106.376;387.178;364;239
1967;106.377;392.235;369;240
1968;106.376;401.627;378;244
1969;106.375;413.807;389;249
1970*;106.375;413.110;388;249
1970;106.375;418.332;393;250
1971;106.376;428.180;403;253
1972;106.375;437.281;411;256
1973;106.375;447.099;420;258
1974;106.375;450.744;424;258
1975;106.376;449.602;423;256
1976;106.391;449.460;422;255
1977;106.266;450.954;424;255
1978;106.267;454.428;428;256
1979;106.216;458.614;432;257
1980;106.210;463.110;436;259
1981;106.211;466.922;440;260
1982;106.212;467.278;440;259
1983;106.181;466.815;440;259
1984;106.180;466.894;440;259
1985;106.180;467.597;440;259
1986;106.179;469.907;443;261
1987*;106.177;465.342;438;260
1987;106.177;467.101;440;261
1988;106.177;471.118;444;264
1989;106.170;478.892;451;269
1990;106.170;488.017;460;275
1991;106.159;495.949;467;280
1992;106.159;503.755;475;284
1993;106.176;508.103;479;286
1994;106.177;509.668;480;287
1995;106.177;512.445;483;289
1996;106.177;515.738;486;290
1997;106.171;517.518;487;291
1998;106.169;519.587;489;292
1999;106.166;521.954;492;293
2000;106.171;524.028;494;294
2001;106.171;527.796;497;297
2002;106.171;530.608;500;298
2003;106.172;531.649;501;299
2004;106.172;532.788;502;300
2005;106.172;533.993;503;300
2006;106.171;534.220;503;300
2007;106.172;534.989;504;301
2008;106.172;535.284;504;301
2009;106.172;536.281;505;301
2010;106.171;537.625;506;301
2011;106.171;525.204;495;295
2012;106.171;527.287;497;296
2013;106.171;531.013;500;298
2014;106.171;534.729;504;300
2015;106.171;541.859;510;305
20164);106.155;544.400;513;307
2017;106.155;546.745;515;309
2018;106.155;547.625;516;310
2019;106.155;548.355;517;311
2020;106.155;548.233;516;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
