 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Rottweil ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;77.089;115.638;150;217
1961;77.089;116.611;151;219
1962;77.089;118.335;154;224
1963;77.090;119.659;155;227
1964;77.092;122.051;158;231
1965;77.093;124.157;161;236
1966;77.093;125.230;162;239
1967;77.093;125.342;163;240
1968;77.093;126.589;164;244
1969;77.093;128.480;167;249
1970*;77.093;129.586;168;249
1970;77.093;129.697;168;250
1971;77.094;130.395;169;253
1972;77.092;130.743;170;256
1973;77.092;131.555;171;258
1974;77.092;130.611;169;258
1975;77.095;129.074;167;256
1976;77.094;128.100;166;255
1977;77.094;127.386;165;255
1978;76.945;126.973;165;256
1979;76.945;127.389;166;257
1980;76.946;127.567;166;259
1981;76.946;127.161;165;260
1982;76.946;126.781;165;259
1983;76.946;126.460;164;259
1984;76.946;125.969;164;259
1985;76.946;125.797;163;259
1986;76.947;126.036;164;261
1987*;76.949;126.796;165;260
1987;76.949;126.682;165;261
1988;76.949;127.529;166;264
1989;76.948;129.572;168;269
1990;76.947;133.059;173;275
1991;76.949;135.375;176;280
1992;76.945;136.882;178;284
1993;76.945;137.585;179;286
1994;76.947;137.999;179;287
1995;76.961;138.944;181;289
1996;76.944;139.688;182;290
1997;76.943;139.945;182;291
1998;76.944;140.058;182;292
1999;76.944;140.628;183;293
2000;76.943;140.873;183;294
2001;76.944;141.761;184;297
2002;76.943;142.302;185;298
2003;76.942;142.322;185;299
2004;76.942;142.357;185;300
2005;76.943;142.148;185;300
2006;76.943;141.765;184;300
2007;76.943;141.551;184;301
2008;76.943;141.073;183;301
2009;76.943;140.307;182;301
2010;76.943;139.316;181;301
2011;76.943;136.049;177;295
2012;76.943;135.553;176;296
2013;76.943;135.319;176;298
2014;76.943;135.912;177;300
2015;76.943;137.500;179;305
20164);76.942;138.327;180;307
2017;76.942;138.858;180;309
2018;76.942;139.455;181;310
2019;76.942;139.878;182;311
2020;76.942;140.166;182;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
