 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Schwarzwald-Baar-Kreis ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;102.399;167.328;163;217
1961;102.399;169.216;165;219
1962;102.399;172.911;169;224
1963;102.398;174.624;171;227
1964;102.397;178.508;174;231
1965;102.396;182.095;178;236
1966;102.395;184.927;181;239
1967;102.395;185.613;181;240
1968;102.396;188.681;184;244
1969;102.396;194.045;190;249
1970*;102.396;192.477;188;249
1970;102.398;193.977;189;250
1971;102.397;195.578;191;253
1972;102.396;199.542;195;256
1973;102.396;202.138;197;258
1974;102.396;201.781;197;258
1975;102.402;199.550;195;256
1976;102.402;197.927;193;255
1977;102.507;197.364;193;255
1978;102.507;197.437;193;256
1979;102.507;198.424;194;257
1980;102.525;199.570;195;259
1981;102.525;198.819;194;260
1982;102.524;197.237;192;259
1983;102.525;195.494;191;259
1984;102.527;194.818;190;259
1985;102.527;194.211;189;259
1986;102.530;194.120;189;261
1987*;102.528;192.620;188;260
1987;102.528;192.832;188;261
1988;102.528;193.825;189;264
1989;102.527;198.349;193;269
1990;102.527;202.025;197;275
1991;102.528;206.176;201;280
1992;102.527;208.109;203;284
1993;102.527;208.635;203;286
1994;102.525;208.646;204;287
1995;102.514;208.828;204;289
1996;102.513;209.031;204;290
1997;102.524;209.106;204;291
1998;102.525;209.171;204;292
1999;102.523;209.605;204;293
2000;102.524;210.347;205;294
2001;102.524;211.321;206;297
2002;102.523;211.922;207;298
2003;102.524;211.807;207;299
2004;102.524;211.712;206;300
2005;102.524;211.320;206;300
2006;102.524;210.617;205;300
2007;102.524;209.709;205;301
2008;102.524;208.691;204;301
2009;102.525;207.259;202;301
2010;102.527;206.535;201;301
2011;102.526;203.978;199;295
2012;102.526;204.585;200;296
2013;102.526;205.090;200;298
2014;102.526;206.116;201;300
2015;102.526;209.648;204;305
20164);102.533;210.084;205;307
2017;102.533;211.207;206;309
2018;102.534;212.381;207;310
2019;102.534;212.506;207;311
2020;102.534;212.872;208;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
