 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Sigmaringen ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;120.993;96.487;80;217
1961;120.993;97.508;81;219
1962;120.991;99.580;82;224
1963;120.991;101.334;84;227
1964;120.990;103.341;85;231
1965;120.990;105.499;87;236
1966;120.993;106.883;88;239
1967;120.993;107.548;89;240
1968;120.994;108.398;90;244
1969;121.046;110.340;91;249
1970*;121.046;109.896;91;249
1970;121.046;110.360;91;250
1971;121.046;111.416;92;253
1972;121.044;112.779;93;256
1973;120.471;113.209;94;258
1974;120.471;113.313;94;258
1975;120.534;112.565;93;256
1976;120.535;112.075;93;255
1977;120.434;112.145;93;255
1978;120.433;112.416;93;256
1979;120.434;113.014;94;257
1980;120.434;113.984;95;259
1981;120.438;114.384;95;260
1982;120.438;114.093;95;259
1983;120.435;114.010;95;259
1984;120.439;113.988;95;259
1985;120.437;114.132;95;259
1986;120.438;114.622;95;261
1987*;120.437;113.650;94;260
1987;120.437;113.876;95;261
1988;120.437;114.637;95;264
1989;120.435;117.757;98;269
1990;120.435;121.008;100;275
1991;120.436;122.902;102;280
1992;120.433;125.062;104;284
1993;120.433;127.353;106;286
1994;120.432;129.112;107;287
1995;120.434;130.652;108;289
1996;120.429;131.223;109;290
1997;120.437;131.789;109;291
1998;120.438;132.280;110;292
1999;120.437;132.899;110;293
2000;120.435;133.500;111;294
2001;120.436;133.671;111;297
2002;120.435;133.852;111;298
2003;120.436;133.889;111;299
2004;120.436;133.732;111;300
2005;120.436;133.385;111;300
2006;120.436;133.078;110;300
2007;120.436;132.419;110;301
2008;120.436;131.695;109;301
2009;120.435;131.059;109;301
2010;120.436;130.215;108;301
2011;120.434;127.409;106;295
2012;120.434;127.272;106;296
2013;120.434;127.101;106;298
2014;120.434;127.716;106;300
2015;120.434;130.772;109;305
20164);120.423;130.275;108;307
2017;120.423;130.192;108;309
2018;120.423;130.873;109;310
2019;120.423;130.849;109;311
2020;120.423;130.946;109;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
