 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Tübingen ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;51.915;127.884;246;217
1961;51.915;129.421;249;219
1962;51.915;133.784;258;224
1963;51.915;135.705;261;227
1964;51.915;138.819;267;231
1965;51.914;142.258;274;236
1966;51.915;146.003;281;239
1967;51.911;147.881;285;240
1968;51.911;151.520;292;244
1969;51.911;155.168;299;249
1970*;51.911;152.156;293;249
1970;51.911;153.847;296;250
1971;51.911;157.947;304;253
1972;51.913;161.839;312;256
1973;51.913;164.517;317;258
1974;51.913;165.384;319;258
1975;51.915;165.487;319;256
1976;51.915;166.135;320;255
1977;51.912;167.119;322;255
1978;51.912;167.601;323;256
1979;51.910;170.142;328;257
1980;51.910;172.803;333;259
1981;51.910;175.392;338;260
1982;51.910;176.609;340;259
1983;51.912;177.347;342;259
1984;51.912;178.825;344;259
1985;51.912;179.937;347;259
1986;51.916;181.817;350;261
1987*;51.918;175.855;339;260
1987;51.918;178.494;344;261
1988;51.918;183.451;353;264
1989;51.913;188.882;364;269
1990;51.914;193.334;372;275
1991;51.918;198.498;382;280
1992;51.918;201.293;388;284
1993;51.918;203.511;392;286
1994;51.915;203.522;392;287
1995;51.915;203.968;393;289
1996;51.915;204.960;395;290
1997;51.915;205.120;395;291
1998;51.915;205.666;396;292
1999;51.915;207.030;399;293
2000;51.916;208.535;402;294
2001;51.917;211.058;407;297
2002;51.917;212.993;410;298
2003;51.917;214.365;413;299
2004;51.917;215.835;416;300
2005;51.916;216.477;417;300
2006;51.918;217.172;418;300
2007;51.918;217.482;419;301
2008;51.918;218.692;421;301
2009;51.918;220.782;425;301
2010;51.918;221.304;426;301
2011;51.919;212.800;410;295
2012;51.919;214.894;414;296
2013;51.919;216.535;417;298
2014;51.919;218.355;421;300
2015;51.919;221.837;427;305
20164);51.912;224.635;433;307
2017;51.912;225.755;435;309
2018;51.911;227.331;438;310
2019;51.911;228.678;441;311
2020;51.911;228.471;440;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
