 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Tuttlingen ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;73.822;93.041;126;217
1961;73.822;94.269;128;219
1962;73.822;96.535;131;224
1963;73.822;97.533;132;227
1964;73.824;99.617;135;231
1965;73.825;102.214;138;236
1966;73.820;103.942;141;239
1967;73.553;104.520;142;240
1968;73.553;105.888;144;244
1969;73.437;108.006;147;249
1970*;73.437;107.838;147;249
1970;73.437;108.591;148;250
1971;73.436;109.468;149;253
1972;73.438;110.356;150;256
1973;73.438;111.460;152;258
1974;73.438;111.379;152;258
1975;73.437;110.283;150;256
1976;73.437;110.137;150;255
1977;73.436;110.151;150;255
1978;73.436;110.116;150;256
1979;73.436;110.457;150;257
1980;73.440;111.317;152;259
1981;73.440;111.325;152;260
1982;73.440;111.163;151;259
1983;73.440;110.907;151;259
1984;73.440;111.350;152;259
1985;73.441;111.423;152;259
1986;73.441;111.650;152;261
1987*;73.438;112.885;154;260
1987;73.438;113.097;154;261
1988;73.438;114.071;155;264
1989;73.440;116.778;159;269
1990;73.445;120.344;164;275
1991;73.435;123.196;168;280
1992;73.436;125.379;171;284
1993;73.436;127.149;173;286
1994;73.436;128.237;175;287
1995;73.435;129.491;176;289
1996;73.434;130.451;178;290
1997;73.435;130.793;178;291
1998;73.435;131.505;179;292
1999;73.435;132.274;180;293
2000;73.435;132.916;181;294
2001;73.435;133.866;182;297
2002;73.435;134.407;183;298
2003;73.435;134.614;183;299
2004;73.435;135.035;184;300
2005;73.435;135.297;184;300
2006;73.436;135.291;184;300
2007;73.436;135.306;184;301
2008;73.436;135.141;184;301
2009;73.435;134.712;183;301
2010;73.435;134.189;183;301
2011;73.435;132.192;180;295
2012;73.435;132.476;180;296
2013;73.435;133.198;181;298
2014;73.435;134.607;183;300
2015;73.435;136.606;186;305
20164);73.438;138.119;188;307
2017;73.438;139.397;190;309
2018;73.438;140.152;191;310
2019;73.438;140.766;192;311
2020;73.438;141.682;193;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
