 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Waldshut ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;113.474;122.810;108;217
1961;113.474;123.646;109;219
1962;113.474;125.179;110;224
1963;113.473;127.093;112;227
1964;113.473;129.720;114;231
1965;113.473;132.595;117;236
1966;113.474;134.255;118;239
1967;113.474;135.032;119;240
1968;113.474;137.054;121;244
1969;113.474;138.864;122;249
1970*;113.474;136.931;121;249
1970;113.475;137.595;121;250
1971;113.473;139.780;123;253
1972;113.474;141.557;125;256
1973;113.474;143.389;126;258
1974;113.474;144.130;127;258
1975;113.473;142.920;126;256
1976;113.105;141.921;125;255
1977;113.124;141.235;125;255
1978;113.127;141.426;125;256
1979;113.126;142.468;126;257
1980;113.113;143.647;127;259
1981;113.109;144.321;128;260
1982;113.109;144.512;128;259
1983;113.109;144.711;128;259
1984;113.109;145.116;128;259
1985;113.109;145.586;129;259
1986;113.119;147.036;130;261
1987*;113.118;144.883;128;260
1987;113.118;145.640;129;261
1988;113.118;147.372;130;264
1989;113.118;151.037;134;269
1990;113.118;155.221;137;275
1991;113.117;158.533;140;280
1992;113.120;161.117;142;284
1993;113.120;162.080;143;286
1994;113.120;162.275;143;287
1995;113.119;163.326;144;289
1996;113.119;164.152;145;290
1997;113.119;164.297;145;291
1998;113.121;164.616;146;292
1999;113.118;164.968;146;293
2000;113.117;164.944;146;294
2001;113.117;166.114;147;297
2002;113.117;166.864;148;298
2003;113.117;167.057;148;299
2004;113.119;167.266;148;300
2005;113.118;167.274;148;300
2006;113.118;167.168;148;300
2007;113.115;167.200;148;301
2008;113.116;166.863;148;301
2009;113.116;166.384;147;301
2010;113.116;166.140;147;301
2011;113.115;163.141;144;295
2012;113.115;163.699;145;296
2013;113.115;164.265;145;298
2014;113.115;165.211;146;300
2015;113.116;167.861;148;305
20164);113.110;168.852;149;307
2017;113.110;170.198;150;309
2018;113.114;170.619;151;310
2019;113.114;171.003;151;311
2020;113.112;171.237;151;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
