 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Landkreis Zollernalbkreis ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;91.770;148.144;161;217
1961;91.770;150.778;164;219
1962;91.770;152.487;166;224
1963;91.770;154.757;169;227
1964;91.770;157.228;171;231
1965;91.770;160.933;175;236
1966;91.771;163.353;178;239
1967;91.772;164.877;180;240
1968;91.772;166.962;182;244
1969;91.772;169.950;185;249
1970*;91.772;170.505;186;249
1970;91.771;170.877;186;250
1971;91.772;173.308;189;253
1972;91.774;175.355;191;256
1973;91.774;176.801;193;258
1974;91.774;175.432;191;258
1975;91.774;173.554;189;256
1976;91.772;172.903;188;255
1977;91.774;172.366;188;255
1978;91.774;171.958;187;256
1979;91.774;172.380;188;257
1980;91.773;173.240;189;259
1981;91.773;172.977;188;260
1982;91.772;171.772;187;259
1983;91.772;171.158;187;259
1984;91.773;170.411;186;259
1985;91.773;170.231;185;259
1986;91.773;170.577;186;261
1987*;91.773;172.245;188;260
1987;91.773;172.732;188;261
1988;91.773;173.685;189;264
1989;91.770;176.935;193;269
1990;91.770;181.635;198;275
1991;91.772;185.487;202;280
1992;91.772;188.675;206;284
1993;91.772;191.251;208;286
1994;91.780;192.155;209;287
1995;91.780;192.862;210;289
1996;91.771;192.866;210;290
1997;91.771;192.537;210;291
1998;91.771;192.690;210;292
1999;91.774;192.920;210;293
2000;91.773;192.891;210;294
2001;91.773;193.196;211;297
2002;91.772;193.696;211;298
2003;91.772;193.387;211;299
2004;91.772;192.961;210;300
2005;91.771;192.722;210;300
2006;91.771;192.138;209;300
2007;91.772;191.531;209;301
2008;91.772;190.294;207;301
2009;91.772;189.337;206;301
2010;91.772;188.393;205;301
2011;91.771;185.129;202;295
2012;91.771;184.658;201;296
2013;91.771;184.615;201;298
2014;91.771;186.360;203;300
2015;91.771;188.595;206;305
20164);91.758;187.401;204;307
2017;91.758;188.170;205;309
2018;91.758;188.935;206;310
2019;91.758;189.363;206;311
2020;91.758;189.862;207;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
