 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Stadtkreis Baden-Baden ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;14.021;51.544;368;217
1961;14.021;51.505;367;219
1962;14.021;51.706;369;224
1963;14.021;52.033;371;227
1964;14.021;52.007;371;231
1965;14.022;52.148;372;236
1966;14.022;52.451;374;239
1967;14.022;52.199;372;240
1968;14.022;52.358;373;244
1969;14.022;52.766;376;249
1970*;14.022;51.545;368;249
1970;14.022;51.331;366;250
1971;14.022;51.304;366;253
1972;14.022;51.089;364;256
1973;14.022;50.679;361;258
1974;14.022;50.201;358;258
1975;14.021;49.718;355;256
1976;14.021;49.159;351;255
1977;14.021;48.959;349;255
1978;14.021;49.200;351;256
1979;14.021;49.399;352;257
1980;14.021;49.142;350;259
1981;14.021;49.059;350;260
1982;14.021;48.886;349;259
1983;14.021;48.848;348;259
1984;14.021;48.622;347;259
1985;14.021;48.684;347;259
1986;14.021;49.257;351;261
1987*;14.021;50.127;358;260
1987;14.021;50.212;358;261
1988;14.021;50.761;362;264
1989;14.021;51.085;364;269
1990;14.017;51.849;370;275
1991;14.017;52.524;375;280
1992;14.019;52.844;377;284
1993;14.019;52.712;376;286
1994;14.018;52.570;375;287
1995;14.018;52.745;376;289
1996;14.018;52.995;378;290
1997;14.019;52.672;376;291
1998;14.018;52.546;375;292
1999;14.018;52.627;375;293
2000;14.018;52.729;376;294
2001;14.018;53.084;379;297
2002;14.018;53.643;383;298
2003;14.018;53.938;385;299
2004;14.018;54.301;387;300
2005;14.018;54.581;389;300
2006;14.018;54.855;391;300
2007;14.018;54.853;391;301
2008;14.018;54.777;391;301
2009;14.021;54.494;389;301
2010;14.021;54.445;388;301
2011;14.021;52.424;374;295
2012;14.021;52.585;375;296
2013;14.021;53.012;378;298
2014;14.021;53.342;380;300
2015;14.021;54.160;386;305
20164);14.019;54.307;387;307
2017;14.019;54.718;390;309
2018;14.019;55.123;393;310
2019;14.019;55.185;394;311
2020;14.019;55.449;396;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
