 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Stadtkreis Freiburg im Breisgau ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;15.168;154.153;1.016;217
1961;15.168;155.770;1.027;219
1962;15.168;158.089;1.042;224
1963;15.168;160.600;1.059;227
1964;15.168;163.007;1.075;231
1965;15.168;165.163;1.089;236
1966;15.168;168.017;1.108;239
1967;15.169;171.680;1.132;240
1968;15.170;173.503;1.144;244
1969;15.170;178.633;1.178;249
1970*;15.170;174.308;1.149;249
1970;15.170;175.842;1.159;250
1971;15.168;177.292;1.169;253
1972;15.168;178.565;1.177;256
1973;15.168;179.534;1.184;258
1974;15.168;179.196;1.181;258
1975;15.168;175.371;1.156;256
1976;15.168;175.044;1.154;255
1977;15.168;174.928;1.153;255
1978;15.304;174.121;1.138;256
1979;15.305;174.121;1.138;257
1980;15.305;175.106;1.144;259
1981;15.305;177.637;1.161;260
1982;15.305;178.545;1.167;259
1983;15.305;179.556;1.173;259
1984;15.305;181.304;1.185;259
1985;15.305;184.230;1.204;259
1986;15.305;186.156;1.216;261
1987*;15.305;178.672;1.167;260
1987;15.305;180.528;1.180;261
1988;15.305;183.979;1.202;264
1989;15.305;187.767;1.227;269
1990;15.305;191.029;1.248;275
1991;15.304;193.775;1.266;280
1992;15.306;195.789;1.279;284
1993;15.306;197.384;1.290;286
1994;15.306;198.496;1.297;287
1995;15.306;199.273;1.302;289
1996;15.306;200.393;1.309;290
1997;15.306;200.519;1.310;291
1998;15.306;200.980;1.313;292
1999;15.306;202.455;1.323;293
2000;15.306;205.102;1.340;294
2001;15.306;208.294;1.361;297
2002;15.306;210.234;1.374;298
2003;15.306;212.495;1.388;299
2004;15.306;213.998;1.398;300
2005;15.306;215.966;1.411;300
2006;15.306;217.547;1.421;300
2007;15.306;219.430;1.434;301
2008;15.306;219.665;1.435;301
2009;15.306;221.924;1.450;301
2010;15.306;224.191;1.465;301
2011;15.306;214.234;1.400;295
2012;15.306;218.043;1.425;296
2013;15.306;220.286;1.439;298
2014;15.306;222.203;1.452;300
2015;15.306;226.393;1.479;305
20164);15.304;227.590;1.487;307
2017;15.304;229.636;1.501;309
2018;15.304;230.241;1.504;310
2019;15.304;231.195;1.511;311
2020;15.304;230.940;1.509;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
