 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Stadtkreis Heidelberg ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;10.899;133.566;1.225;217
1961;10.899;134.215;1.231;219
1962;10.899;134.818;1.237;224
1963;10.899;134.358;1.233;227
1964;10.899;133.485;1.225;231
1965;10.899;133.603;1.226;236
1966;10.899;132.641;1.217;239
1967;10.899;130.573;1.198;240
1968;10.899;130.206;1.195;244
1969;10.899;130.685;1.199;249
1970*;10.899;129.697;1.190;249
1970;10.899;130.129;1.194;250
1971;10.899;130.863;1.201;253
1972;10.899;131.285;1.205;256
1973;10.899;129.688;1.190;258
1974;10.899;130.134;1.194;258
1975;10.899;129.368;1.187;256
1976;10.886;129.361;1.188;255
1977;10.887;129.179;1.187;255
1978;10.887;128.064;1.176;256
1979;10.883;128.773;1.183;257
1980;10.883;133.227;1.224;259
1981;10.883;134.386;1.235;260
1982;10.883;134.575;1.237;259
1983;10.883;133.437;1.226;259
1984;10.883;133.693;1.228;259
1985;10.883;134.724;1.238;259
1986;10.883;136.227;1.252;261
1987*;10.883;127.768;1.174;260
1987;10.883;128.609;1.182;261
1988;10.883;131.429;1.208;264
1989;10.883;134.496;1.236;269
1990;10.883;136.796;1.257;275
1991;10.883;139.392;1.281;280
1992;10.883;140.282;1.289;284
1993;10.883;139.429;1.281;286
1994;10.883;138.964;1.277;287
1995;10.883;138.781;1.275;289
1996;10.883;138.869;1.276;290
1997;10.883;139.941;1.286;291
1998;10.883;139.285;1.280;292
1999;10.883;139.672;1.283;293
2000;10.883;140.259;1.289;294
2001;10.883;141.509;1.300;297
2002;10.884;142.575;1.310;298
2003;10.883;142.959;1.314;299
2004;10.883;143.123;1.315;300
2005;10.883;142.993;1.314;300
2006;10.883;144.634;1.329;300
2007;10.883;145.311;1.335;301
2008;10.883;145.642;1.338;301
2009;10.883;146.466;1.346;301
2010;10.883;147.312;1.354;301
2011;10.883;148.415;1.364;295
2012;10.883;150.335;1.381;296
2013;10.883;152.113;1.398;298
2014;10.883;154.715;1.422;300
2015;10.884;156.267;1.436;305
20164);10.889;159.914;1.469;307
2017;10.889;160.601;1.475;309
2018;10.883;160.355;1.473;310
2019;10.883;161.485;1.484;311
2020;10.883;158.741;1.459;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
