 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Stadtkreis Heilbronn ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;9.985;99.257;994;217
1961;9.985;100.399;1.005;219
1962;9.985;102.007;1.022;224
1963;9.985;103.933;1.041;227
1964;9.985;105.313;1.055;231
1965;9.985;106.607;1.068;236
1966;9.985;107.882;1.080;239
1967;9.985;108.044;1.082;240
1968;9.985;110.843;1.110;244
1969;9.985;113.251;1.134;249
1970*;9.984;113.725;1.139;249
1970;9.984;114.665;1.148;250
1971;9.984;114.733;1.149;253
1972;9.985;116.045;1.162;256
1973;9.985;116.931;1.171;258
1974;9.985;115.924;1.161;258
1975;9.985;113.177;1.133;256
1976;9.986;112.411;1.126;255
1977;9.986;111.699;1.119;255
1978;9.986;111.330;1.115;256
1979;9.986;111.426;1.116;257
1980;9.986;111.938;1.121;259
1981;9.986;111.745;1.119;260
1982;9.986;111.276;1.114;259
1983;9.986;110.800;1.110;259
1984;9.986;110.666;1.108;259
1985;9.986;111.338;1.115;259
1986;9.986;111.713;1.119;261
1987*;9.986;110.970;1.111;260
1987;9.986;111.368;1.115;261
1988;9.986;112.279;1.124;264
1989;9.986;113.955;1.141;269
1990;9.986;115.843;1.160;275
1991;9.986;117.427;1.176;280
1992;9.986;121.052;1.212;284
1993;9.986;122.396;1.226;286
1994;9.986;122.253;1.224;287
1995;9.987;121.509;1.217;289
1996;9.987;121.556;1.217;290
1997;9.987;120.987;1.211;291
1998;9.987;120.012;1.202;292
1999;9.987;119.526;1.197;293
2000;9.988;119.305;1.194;294
2001;9.988;120.163;1.203;297
2002;9.988;120.683;1.208;298
2003;9.988;120.705;1.209;299
2004;9.988;121.320;1.215;300
2005;9.988;121.613;1.218;300
2006;9.988;121.384;1.215;300
2007;9.988;121.627;1.218;301
2008;9.988;122.098;1.222;301
2009;9.988;122.415;1.226;301
2010;9.988;122.879;1.230;301
2011;9.988;116.716;1.169;295
2012;9.988;117.531;1.177;296
2013;9.988;118.122;1.183;298
2014;9.988;119.841;1.200;300
2015;9.988;122.567;1.227;305
20164);9.989;123.771;1.239;307
2017;9.989;125.113;1.253;309
2018;9.989;125.960;1.261;310
2019;9.990;126.592;1.267;311
2020;9.990;126.458;1.266;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
