 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Stadtkreis Karlsruhe ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;17.345;265.077;1.528;217
1961;17.345;268.184;1.546;219
1962;17.345;272.113;1.569;224
1963;17.346;274.628;1.583;227
1964;17.346;277.823;1.602;231
1965;17.346;280.001;1.614;236
1966;17.347;280.968;1.620;239
1967;17.348;281.093;1.620;240
1968;17.349;284.060;1.637;244
1969;17.348;286.085;1.649;249
1970*;17.348;287.452;1.657;249
1970;17.348;287.526;1.657;250
1971;17.348;287.918;1.660;253
1972;17.347;287.539;1.658;256
1973;17.347;285.822;1.648;258
1974;17.347;283.543;1.635;258
1975;17.346;280.448;1.617;256
1976;17.346;276.620;1.595;255
1977;17.346;275.828;1.590;255
1978;17.346;274.058;1.580;256
1979;17.346;271.417;1.565;257
1980;17.346;271.892;1.567;259
1981;17.346;271.877;1.567;260
1982;17.346;271.236;1.564;259
1983;17.345;269.389;1.553;259
1984;17.345;269.638;1.555;259
1985;17.345;268.211;1.546;259
1986;17.345;268.309;1.547;261
1987*;17.345;260.591;1.502;260
1987;17.345;262.209;1.512;261
1988;17.345;265.100;1.528;264
1989;17.345;270.659;1.560;269
1990;17.344;275.061;1.586;275
1991;17.344;278.579;1.606;280
1992;17.344;279.329;1.611;284
1993;17.344;277.998;1.603;286
1994;17.347;277.011;1.597;287
1995;17.347;275.690;1.589;289
1996;17.347;277.191;1.598;290
1997;17.346;276.571;1.594;291
1998;17.349;276.536;1.594;292
1999;17.349;277.204;1.598;293
2000;17.346;278.558;1.606;294
2001;17.346;279.578;1.612;297
2002;17.346;281.334;1.622;298
2003;17.346;282.595;1.629;299
2004;17.346;284.163;1.638;300
2005;17.346;285.263;1.645;300
2006;17.346;286.327;1.651;300
2007;17.346;288.917;1.666;301
2008;17.346;290.736;1.676;301
2009;17.346;291.959;1.683;301
2010;17.346;294.761;1.699;301
2011;17.346;291.995;1.683;295
2012;17.346;296.033;1.707;296
2013;17.346;299.103;1.724;298
2014;17.346;300.051;1.730;300
2015;17.346;307.755;1.774;305
20164);17.342;309.999;1.788;307
2017;17.342;311.919;1.799;309
2018;17.342;313.092;1.805;310
2019;17.342;312.060;1.799;311
2020;17.342;308.436;1.779;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
