 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Stadtkreis Mannheim ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;14.494;313.890;2.166;217
1961;14.494;316.007;2.180;219
1962;14.495;318.919;2.200;224
1963;14.495;321.075;2.215;227
1964;14.495;323.444;2.231;231
1965;14.495;328.156;2.264;236
1966;14.495;329.301;2.272;239
1967;14.495;323.744;2.233;240
1968;14.495;326.302;2.251;244
1969;14.495;330.920;2.283;249
1970*;14.495;332.163;2.292;249
1970;14.495;332.378;2.293;250
1971;14.495;330.635;2.281;253
1972;14.495;328.411;2.266;256
1973;14.495;325.386;2.245;258
1974;14.495;320.508;2.211;258
1975;14.495;314.086;2.167;256
1976;14.495;309.059;2.132;255
1977;14.495;305.741;2.109;255
1978;14.495;302.794;2.089;256
1979;14.495;303.247;2.092;257
1980;14.495;304.303;2.099;259
1981;14.495;304.219;2.099;260
1982;14.495;302.621;2.088;259
1983;14.495;298.042;2.056;259
1984;14.495;295.178;2.036;259
1985;14.495;294.984;2.035;259
1986;14.495;294.648;2.033;261
1987*;14.496;295.191;2.036;260
1987;14.496;297.197;2.050;261
1988;14.496;300.468;2.073;264
1989;14.495;305.974;2.111;269
1990;14.495;310.411;2.142;275
1991;14.495;314.685;2.171;280
1992;14.495;318.446;2.197;284
1993;14.495;318.025;2.194;286
1994;14.497;316.223;2.181;287
1995;14.497;311.292;2.147;289
1996;14.497;312.216;2.154;290
1997;14.497;310.475;2.142;291
1998;14.496;308.903;2.131;292
1999;14.496;307.730;2.123;293
2000;14.496;306.729;2.116;294
2001;14.496;308.385;2.127;297
2002;14.496;308.759;2.130;298
2003;14.496;308.353;2.127;299
2004;14.496;307.499;2.121;300
2005;14.496;307.900;2.124;300
2006;14.496;307.914;2.124;300
2007;14.496;309.795;2.137;301
2008;14.496;311.342;2.148;301
2009;14.496;311.969;2.152;301
2010;14.496;313.174;2.160;301
2011;14.496;291.458;2.011;295
2012;14.496;294.627;2.032;296
2013;14.496;296.690;2.047;298
2014;14.496;299.844;2.069;300
2015;14.496;305.780;2.109;305
20164);14.497;304.781;2.102;307
2017;14.497;307.997;2.125;309
2018;14.497;309.370;2.134;310
2019;14.497;310.658;2.143;311
2020;14.497;309.721;2.136;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
