 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Stadtkreis Pforzheim ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;9.778;96.312;985;217
1961;9.778;97.603;998;219
1962;9.778;99.583;1.018;224
1963;9.780;100.532;1.028;227
1964;9.781;101.165;1.034;231
1965;9.781;102.310;1.046;236
1966;9.781;103.256;1.056;239
1967;9.781;103.370;1.057;240
1968;9.781;104.758;1.071;244
1969;9.781;106.901;1.093;249
1970*;9.781;106.410;1.088;249
1970;9.781;107.251;1.097;250
1971;9.781;107.727;1.101;253
1972;9.781;108.417;1.108;256
1973;9.781;108.941;1.114;258
1974;9.781;108.956;1.114;258
1975;9.780;108.635;1.111;256
1976;9.780;107.877;1.103;255
1977;9.783;107.002;1.094;255
1978;9.783;106.498;1.089;256
1979;9.781;106.677;1.091;257
1980;9.779;106.500;1.089;259
1981;9.779;105.867;1.083;260
1982;9.781;105.217;1.076;259
1983;9.781;104.660;1.070;259
1984;9.781;104.023;1.064;259
1985;9.781;104.184;1.065;259
1986;9.781;104.452;1.068;261
1987*;9.781;106.530;1.089;260
1987;9.781;107.524;1.099;261
1988;9.781;108.887;1.113;264
1989;9.781;110.865;1.133;269
1990;9.781;112.944;1.155;275
1991;9.784;115.547;1.181;280
1992;9.784;116.733;1.193;284
1993;9.784;117.450;1.200;286
1994;9.784;117.960;1.206;287
1995;9.784;118.763;1.214;289
1996;9.784;118.703;1.213;290
1997;9.784;118.079;1.207;291
1998;9.784;117.606;1.202;292
1999;9.784;117.227;1.198;293
2000;9.784;117.156;1.197;294
2001;9.784;118.002;1.206;297
2002;9.802;118.785;1.212;298
2003;9.803;119.046;1.214;299
2004;9.803;118.847;1.212;300
2005;9.803;119.021;1.214;300
2006;9.802;119.156;1.216;300
2007;9.802;119.423;1.218;301
2008;9.803;119.839;1.222;301
2009;9.801;119.788;1.222;301
2010;9.800;119.781;1.222;301
2011;9.800;115.211;1.176;295
2012;9.800;116.425;1.188;296
2013;9.800;117.754;1.202;298
2014;9.800;119.291;1.217;300
2015;9.800;122.247;1.247;305
20164);9.807;123.493;1.259;307
2017;9.807;124.289;1.267;309
2018;9.799;125.542;1.281;310
2019;9.799;125.957;1.285;311
2020;9.799;126.016;1.286;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
