 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Stadtkreis Stuttgart ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;20.724;637.539;3.076;217
1961;20.724;637.299;3.075;219
1962;20.724;639.103;3.084;224
1963;20.723;634.713;3.063;227
1964;20.723;631.754;3.049;231
1965;20.720;629.364;3.037;236
1966;20.720;625.258;3.018;239
1967;20.720;613.775;2.962;240
1968;20.718;617.472;2.980;244
1969;20.718;628.412;3.033;249
1970*;20.718;633.158;3.056;249
1970;20.718;634.202;3.061;250
1971;20.715;632.947;3.056;253
1972;20.715;630.390;3.043;256
1973;20.715;624.835;3.016;258
1974;20.715;613.263;2.960;258
1975;20.715;600.421;2.898;256
1976;20.715;590.135;2.849;255
1977;20.714;584.554;2.822;255
1978;20.714;583.700;2.818;256
1979;20.715;581.989;2.810;257
1980;20.714;580.648;2.803;259
1981;20.715;583.001;2.814;260
1982;20.714;573.577;2.769;259
1983;20.714;567.020;2.737;259
1984;20.735;561.567;2.708;259
1985;20.736;561.628;2.708;259
1986;20.736;565.486;2.727;261
1987*;20.736;551.904;2.662;260
1987;20.736;556.302;2.683;261
1988;20.736;562.658;2.713;264
1989;20.731;570.699;2.753;269
1990;20.732;579.988;2.798;275
1991;20.732;591.946;2.855;280
1992;20.733;599.415;2.891;284
1993;20.733;594.406;2.867;286
1994;20.735;588.482;2.838;287
1995;20.734;585.604;2.824;289
1996;20.734;585.540;2.824;290
1997;20.734;585.274;2.823;291
1998;20.734;581.961;2.807;292
1999;20.734;582.443;2.809;293
2000;20.736;583.874;2.816;294
2001;20.736;587.152;2.832;297
2002;20.736;588.477;2.838;298
2003;20.736;589.161;2.841;299
2004;20.736;590.657;2.849;300
2005;20.736;592.569;2.858;300
2006;20.735;593.923;2.864;300
2007;20.735;597.176;2.880;301
2008;20.735;600.068;2.894;301
2009;20.735;601.646;2.902;301
2010;20.735;606.588;2.925;301
2011;20.735;591.015;2.850;295
2012;20.735;597.939;2.884;296
2013;20.735;604.297;2.914;298
2014;20.735;612.441;2.954;300
2015;20.735;623.738;3.008;305
20164);20.733;628.032;3.029;307
2017;20.735;632.743;3.052;309
2018;20.733;634.830;3.062;310
2019;20.733;635.911;3.067;311
2020;20.732;630.305;3.040;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
