 Gemeindegebiet, Bevölkerung und Bevölkerungsdichte seit 1961 ;;;;
Stadtkreis Ulm ;;;;
Jahr1);Gemeindegebiet2); Bevölkerung insgesamt3); Bevölkerungsdichte ;
; ha ;Anzahl;EW/km2; Landeswert
1961*;11.698;100.237;857;217
1961;11.698;100.826;862;219
1962;11.698;101.614;869;224
1963;11.698;101.620;869;227
1964;11.698;101.396;867;231
1965;11.698;100.831;862;236
1966;11.698;99.144;848;239
1967;11.698;97.721;835;240
1968;11.699;98.801;845;244
1969;11.699;101.034;864;249
1970*;11.699;101.628;869;249
1970;11.699;101.948;871;250
1971;11.699;100.922;863;253
1972;11.699;99.526;851;256
1973;11.699;99.342;849;258
1974;11.699;98.499;842;258
1975;11.696;98.237;840;256
1976;11.696;98.740;844;255
1977;11.699;98.815;845;255
1978;11.699;98.528;842;256
1979;11.882;99.560;838;257
1980;11.873;100.671;848;259
1981;11.873;100.449;846;260
1982;11.873;99.725;840;259
1983;11.880;98.660;830;259
1984;11.873;98.604;830;259
1985;11.873;99.936;842;259
1986;11.873;100.745;849;261
1987*;11.868;103.494;872;260
1987;11.868;104.556;881;261
1988;11.868;106.508;897;264
1989;11.868;108.930;918;269
1990;11.868;110.529;931;275
1991;11.868;112.173;945;280
1992;11.868;114.066;961;284
1993;11.868;114.839;968;286
1994;11.869;115.123;970;287
1995;11.869;115.721;975;289
1996;11.869;116.021;978;290
1997;11.869;115.628;974;291
1998;11.869;115.701;975;292
1999;11.869;116.103;978;293
2000;11.869;117.233;988;294
2001;11.869;118.347;997;297
2002;11.869;119.155;1.004;298
2003;11.869;119.807;1.009;299
2004;11.869;120.107;1.012;300
2005;11.869;120.625;1.016;300
2006;11.869;120.925;1.019;300
2007;11.869;121.434;1.023;301
2008;11.869;121.648;1.025;301
2009;11.869;122.087;1.029;301
2010;11.869;122.801;1.035;301
2011;11.869;117.541;990;295
2012;11.869;117.977;994;296
2013;11.869;119.218;1.004;298
2014;11.869;120.714;1.017;300
2015;11.869;122.636;1.033;305
20164);11.868;123.953;1.044;307
2017;11.868;125.596;1.058;309
2018;11.868;126.329;1.064;310
2019;11.868;126.790;1.068;311
2020;11.868;126.405;1.065;311
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
 * Volkszählungsergebnisse. ;;;;
1) Fortschreibungen zum 31. 12. des Jahres. ;;;;
2) Landessummen: bis 2010 ohne gemeindefreies Gebiet Rheinau, ab 2011 ohne die gemeindefreien Gebiete Rheinau und Gutsbezirk Münsingen. ;;;;
"3) 1961 bis 1969 Basis VZ '61,
 1970 bis 1986 Basis VZ '70,
 1987 bis 2010 Basis VZ '87,
 ab 2011 Basis Zensus 2011. ";;;;
4) Etwaige Änderungen in der Gesamtfläche im Jahr 2016 sind überwiegend durch die methodische Umstellung von ALB auf ALKIS® bedingt. ;;;;
Datenquelle: Feststellung des Gebietsstandes, Bevölkerungsfortschreibung, Volkszählungen, Zensus. ;;;;
