	virus_type	district	season	case_number	year	area [ha]	population	population_density	population_density_bw	pop_exp	pop_dens_exp	area_exp	area [km^2]	area ex [km^2]	mean_pop_dens_exp
0	IF A	AD	2000/01	20.0	2000	135732.0	185929.0	137.0	294.0	170214.78	125.35	135793.33	1357.9333	1357.93	136.31454545454542
1	IF A(H1N1) pandemic09	AD	2000/01	0.0	2000	135732.0	185929.0	137.0	294.0	170214.78	125.35	135793.33	1357.9333	1357.93	136.31454545454542
2	IF A(H1N1) prepandemic	AD	2000/01	0.0	2000	135732.0	185929.0	137.0	294.0	170214.78	125.35	135793.33	1357.9333	1357.93	136.31454545454542
3	IF A(H1N2)	AD	2000/01	0.0	2000	135732.0	185929.0	137.0	294.0	170214.78	125.35	135793.33	1357.9333	1357.93	136.31454545454542
4	IF A(H3N2)	AD	2000/01	0.0	2000	135732.0	185929.0	137.0	294.0	170214.78	125.35	135793.33	1357.9333	1357.93	136.31454545454542
5	IF A/B not determined	AD	2000/01	0.0	2000	135732.0	185929.0	137.0	294.0	170214.78	125.35	135793.33	1357.9333	1357.93	136.31454545454542
6	IF B	AD	2000/01	0.0	2000	135732.0	185929.0	137.0	294.0	170214.78	125.35	135793.33	1357.9333	1357.93	136.31454545454542
7	IF C	AD	2000/01	0.0	2000	135732.0	185929.0	137.0	294.0	170214.78	125.35	135793.33	1357.9333	1357.93	136.31454545454542
8	not determined	AD	2000/01	0.0	2000	135732.0	185929.0	137.0	294.0	170214.78	125.35	135793.33	1357.9333	1357.93	136.31454545454542
9	IF A	BAD	2000/01	1.0	2000	14018.0	52729.0	376.0	294.0	48370.18	345.03	14019.24	140.1924	140.19	372.385
10	IF A(H1N1) pandemic09	BAD	2000/01	0.0	2000	14018.0	52729.0	376.0	294.0	48370.18	345.03	14019.24	140.1924	140.19	372.385
11	IF A(H1N1) prepandemic	BAD	2000/01	0.0	2000	14018.0	52729.0	376.0	294.0	48370.18	345.03	14019.24	140.1924	140.19	372.385
12	IF A(H1N2)	BAD	2000/01	0.0	2000	14018.0	52729.0	376.0	294.0	48370.18	345.03	14019.24	140.1924	140.19	372.385
13	IF A(H3N2)	BAD	2000/01	0.0	2000	14018.0	52729.0	376.0	294.0	48370.18	345.03	14019.24	140.1924	140.19	372.385
14	IF A/B not determined	BAD	2000/01	0.0	2000	14018.0	52729.0	376.0	294.0	48370.18	345.03	14019.24	140.1924	140.19	372.385
15	IF B	BAD	2000/01	0.0	2000	14018.0	52729.0	376.0	294.0	48370.18	345.03	14019.24	140.1924	140.19	372.385
16	IF C	BAD	2000/01	0.0	2000	14018.0	52729.0	376.0	294.0	48370.18	345.03	14019.24	140.1924	140.19	372.385
17	not determined	BAD	2000/01	0.0	2000	14018.0	52729.0	376.0	294.0	48370.18	345.03	14019.24	140.1924	140.19	372.385
18	IF A	BB	2000/01	2.0	2000	61783.0	364987.0	591.0	294.0	325445.91	526.76	61781.57	617.8157	617.82	587.7218181818182
19	IF A(H1N1) pandemic09	BB	2000/01	0.0	2000	61783.0	364987.0	591.0	294.0	325445.91	526.76	61781.57	617.8157	617.82	587.7218181818182
20	IF A(H1N1) prepandemic	BB	2000/01	0.0	2000	61783.0	364987.0	591.0	294.0	325445.91	526.76	61781.57	617.8157	617.82	587.7218181818182
21	IF A(H1N2)	BB	2000/01	0.0	2000	61783.0	364987.0	591.0	294.0	325445.91	526.76	61781.57	617.8157	617.82	587.7218181818182
22	IF A(H3N2)	BB	2000/01	0.0	2000	61783.0	364987.0	591.0	294.0	325445.91	526.76	61781.57	617.8157	617.82	587.7218181818182
23	IF A/B not determined	BB	2000/01	0.0	2000	61783.0	364987.0	591.0	294.0	325445.91	526.76	61781.57	617.8157	617.82	587.7218181818182
24	IF B	BB	2000/01	0.0	2000	61783.0	364987.0	591.0	294.0	325445.91	526.76	61781.57	617.8157	617.82	587.7218181818182
